onset	offset	word	voice	file	interval_no	tag1	tagger	autobi
1.23075	1.4432499	see	slt	arctic_a0004_slt	6	[0.203746, 0.391401]	1	0
1.4432499	1.5994999	you	slt	arctic_a0004_slt	7	[0.359461, 0.053472]	1	0
1.5994999	1.8995	again	slt	arctic_a0004_slt	8	[0.053472, 0.420447]	1	0
1.8995	2.3182499	Phil	slt	arctic_a0004_slt	9	[0.37347]	1	3
2.3182499	0.0	.	slt	arctic_a0004_slt	10		0	0
0.0	0.19949999	.	slt	arctic_a0005_slt	0		0	0
0.19949999	0.36825001	Will	slt	arctic_a0005_slt	1		0	0
0.36825001	0.54325002	we	slt	arctic_a0005_slt	2	[0.500717]	0	0
0.54325002	0.79949999	ever	slt	arctic_a0005_slt	3	[0.9, 0.489937]	1	4
0.79949999	1.187	forget	slt	arctic_a0005_slt	4	[0.160177, 0.72408]	1	1
1.187	1.3182499	it	slt	arctic_a0005_slt	5	[0.355416]	0	0
1.3182499	0.0	.	slt	arctic_a0005_slt	6		0	0
0.0	0.0	.	slt	arctic_a0006_slt	0		0	0
0.0	0.19325	.	slt	arctic_a0006_slt	1		0	0
0.19325	0.41824999	God	slt	arctic_a0006_slt	2		0	0
0.41824999	0.76200002	bless	slt	arctic_a0006_slt	3	[0.824013]	1	1
0.76200002	0.89324999	em	slt	arctic_a0006_slt	4	[0.269224]	0	0
0.89324999	1.01825	I	slt	arctic_a0006_slt	5	[0.9]	1	0
1.01825	1.2869999	hope	slt	arctic_a0006_slt	6	[0.41804]	0	1
1.2869999	1.36825	I'll	slt	arctic_a0006_slt	7	[0.303812]	0	0
1.36825	1.5994999	go	slt	arctic_a0006_slt	8	[0.575645]	1	0
1.5994999	1.7557499	on	slt	arctic_a0006_slt	9	[0.453127]	0	0
1.7557499	2.1307499	seeing	slt	arctic_a0006_slt	10	[0.385986, 0.049025]	1	0
2.1307499	2.2995	them	slt	arctic_a0006_slt	11	[0.237442]	0	0
2.2995	2.84325	forever	slt	arctic_a0006_slt	12	[0.24407, 0.37221, 0.322452]	1	1
2.84325	0.0	.	slt	arctic_a0006_slt	13		0	0
0.0	0.0	.	slt	arctic_a0007_slt	0		0	0
0.0	0.18075	.	slt	arctic_a0007_slt	1		0	0
0.18075	0.33074999	And	slt	arctic_a0007_slt	2		0	0
0.33074999	0.43700001	you	slt	arctic_a0007_slt	3	[0.146014]	0	0
0.43700001	0.82450002	always	slt	arctic_a0007_slt	4	[1.199172, 0.3186]	1	5
0.82450002	1.0495	want	slt	arctic_a0007_slt	5	[0.384406]	1	0
1.0495	1.11825	to	slt	arctic_a0007_slt	6	[0.095745]	0	0
1.11825	1.35575	see	slt	arctic_a0007_slt	7	[0.095745, 0.403482]	1	0
1.35575	1.45575	it	slt	arctic_a0007_slt	8	[0.131803]	0	0
1.45575	1.54325	in	slt	arctic_a0007_slt	9	[0.090788]	0	0
1.54325	1.612	the	slt	arctic_a0007_slt	10	[0.083981]	0	0
1.612	2.33075	superlative	slt	arctic_a0007_slt	11	[0.083981, 0.030066, 0.279069, 0.081697, 0.133873]	1	1
2.33075	2.862	degree	slt	arctic_a0007_slt	12	[0.118651, 0.532201]	1	1
2.862	0.0	.	slt	arctic_a0007_slt	13		0	0
0.0	0.18700001	.	slt	arctic_a0008_slt	0		0	0
0.18700001	0.53074998	Gad	slt	arctic_a0008_slt	1		0	1
0.53074998	0.67449999	your	slt	arctic_a0008_slt	2	[0.01393]	0	0
0.67449999	0.94950002	letter	slt	arctic_a0008_slt	3	[0.128009, 0.064942]	1	3
0.94950002	1.23075	came	slt	arctic_a0008_slt	4	[0.099012]	1	0
1.23075	1.5057499	just	slt	arctic_a0008_slt	5	[0.064412]	0	0
1.5057499	1.637	in	slt	arctic_a0008_slt	6	[0.038052]	0	0
1.637	2.062	time	slt	arctic_a0008_slt	7	[0.406198]	1	1
2.062	0.0	.	slt	arctic_a0008_slt	8		0	0
0.0	0.13699999	.	slt	arctic_a0009_slt	0		0	0
0.13699999	0.27450001	He	slt	arctic_a0009_slt	1		0	0
0.27450001	0.58700001	turned	slt	arctic_a0009_slt	2	[0.900744]	1	1
0.58700001	1.14325	sharply	slt	arctic_a0009_slt	3	[0.496897, 0.894615]	1	6
1.14325	1.2995	and	slt	arctic_a0009_slt	4	[0.161548]	0	0
1.2995	1.58075	faced	slt	arctic_a0009_slt	5	[0.927273]	1	0
1.58075	2.0057499	Gregson	slt	arctic_a0009_slt	6	[1.137193, 0.182848]	1	1
2.0057499	2.3682499	across	slt	arctic_a0009_slt	7	[0.230197, 0.591339]	1	1
2.3682499	2.487	the	slt	arctic_a0009_slt	8	[0.102149]	0	0
2.487	2.8870001	table	slt	arctic_a0009_slt	9	[0.559859, 0.083237]	1	3
2.8870001	0.0	.	slt	arctic_a0009_slt	10		0	0
0.0	0.19325	.	slt	arctic_a0010_slt	0		0	0
0.19325	0.29949999	I'm	slt	arctic_a0010_slt	1		0	0
0.29949999	0.5995	playing	slt	arctic_a0010_slt	2	[0.562672, 0.153589, 0.112535]	1	1
0.5995	0.62449998	a	slt	arctic_a0010_slt	3	[0.112535]	0	0
0.62449998	0.96824998	single	slt	arctic_a0010_slt	4	[0.112535, 0.265101, 0.52808]	0	1
0.96824998	1.29325	hand	slt	arctic_a0010_slt	5	[0.9]	1	1
1.29325	1.39325	in	slt	arctic_a0010_slt	6	[0.171238]	0	0
1.39325	1.54325	what	slt	arctic_a0010_slt	7	[0.201612]	1	0
1.54325	1.8182499	looks	slt	arctic_a0010_slt	8	[0.07437]	0	0
1.8182499	2.0120001	like	slt	arctic_a0010_slt	9	[0.417736, 0.05324]	1	0
2.0120001	2.03075	a	slt	arctic_a0010_slt	10	[0.05324]	0	0
2.03075	2.4495001	losing	slt	arctic_a0010_slt	11	[0.05324, 0.427008, 0.199628]	1	3
2.4495001	2.7932501	game	slt	arctic_a0010_slt	12	[0.687865]	1	0
2.7932501	0.0	.	slt	arctic_a0010_slt	13		0	0
0.0	0.080750003	.	slt	arctic_a0011_slt	0		0	0
0.080750003	0.21825001	If	slt	arctic_a0011_slt	1		0	0
0.21825001	0.3495	I	slt	arctic_a0011_slt	2	[0.741195]	1	0
0.3495	0.56199998	ever	slt	arctic_a0011_slt	3	[0.917545, 0.227081]	1	0
0.56199998	0.89950001	needed	slt	arctic_a0011_slt	4	[0.411171, 0.145166]	1	0
0.89950001	0.94950002	a	slt	arctic_a0011_slt	5	[0.203105]	0	0
0.94950002	1.3807499	fighter	slt	arctic_a0011_slt	6	[0.9, 0.319419]	1	1
1.3807499	1.4744999	in	slt	arctic_a0011_slt	7	[0.052425]	0	0
1.4744999	1.61825	my	slt	arctic_a0011_slt	8	[0.265059]	0	0
1.61825	1.93075	life	slt	arctic_a0011_slt	9	[0.66448]	1	3
1.93075	2.01825	I	slt	arctic_a0011_slt	10	[0.309746]	0	0
2.01825	2.237	need	slt	arctic_a0011_slt	11	[0.17762]	0	0
2.237	2.45575	one	slt	arctic_a0011_slt	12	[0.198435]	0	0
2.45575	2.83075	now	slt	arctic_a0011_slt	13	[0.848111]	1	0
2.83075	0.0	.	slt	arctic_a0011_slt	14		0	0
0.0	0.1745	.	slt	arctic_a0012_slt	0		0	0
0.1745	0.63700002	Gregson	slt	arctic_a0012_slt	1	[0.565284]	0	1
0.63700002	0.9745	shoved	slt	arctic_a0012_slt	2	[0.794881]	1	1
0.9745	1.23075	back	slt	arctic_a0012_slt	3	[0.904501]	1	1
1.23075	1.33075	his	slt	arctic_a0012_slt	4	[0.052847]	0	0
1.33075	1.71825	chair	slt	arctic_a0012_slt	5	[0.458568, 0.090086]	1	1
1.71825	1.83075	and	slt	arctic_a0012_slt	6	[0.090086]	0	0
1.83075	2.0682499	rose	slt	arctic_a0012_slt	7	[0.484662]	1	0
2.0682499	2.237	to	slt	arctic_a0012_slt	8	[0.195383]	0	0
2.237	2.3994999	his	slt	arctic_a0012_slt	9	[0.052081]	0	0
2.3994999	2.6807499	feet	slt	arctic_a0012_slt	10	[0.61676]	1	0
2.6807499	0.0	.	slt	arctic_a0012_slt	11		0	0
0.0	0.14325	.	slt	arctic_a0013_slt	0		0	0
0.14325	0.25575	He	slt	arctic_a0013_slt	1		0	0
0.25575	0.43700001	was	slt	arctic_a0013_slt	2	[0.222365]	0	0
0.43700001	0.48699999	a	slt	arctic_a0013_slt	3	[0.283176]	0	0
0.48699999	0.70574999	head	slt	arctic_a0013_slt	4	[0.844548]	1	0
0.70574999	1.0745	shorter	slt	arctic_a0013_slt	5	[0.754044, 0.67936]	1	1
1.0745	1.237	than	slt	arctic_a0013_slt	6	[0.385271]	0	0
1.237	1.35575	his	slt	arctic_a0013_slt	7	[0.197223]	0	0
1.35575	1.9744999	companion	slt	arctic_a0013_slt	8	[0.137558, 1.029771, 0.277482]	1	3
1.9744999	2.09325	.	slt	arctic_a0013_slt	9		0	0
2.09325	2.1745	of	slt	arctic_a0013_slt	10	[0.09756]	0	0
2.1745	2.5557499	almost	slt	arctic_a0013_slt	11	[0.9, 0.436877]	1	3
2.5557499	2.937	delicate	slt	arctic_a0013_slt	12	[0.835004, 0.156645, 0.413656]	1	6
2.937	3.46825	physique	slt	arctic_a0013_slt	13	[0.289181, 1.024644]	1	3
3.46825	0.0	.	slt	arctic_a0013_slt	14		0	0
0.0	0.19949999	.	slt	arctic_a0014_slt	0		0	0
0.19949999	0.40575001	Now	slt	arctic_a0014_slt	1		0	0
0.40575001	0.56199998	youre	slt	arctic_a0014_slt	2	[0.117084]	0	0
0.56199998	0.90574998	coming	slt	arctic_a0014_slt	3	[0.196881, 0.09848]	1	1
0.90574998	1.11825	down	slt	arctic_a0014_slt	4	[0.498027]	1	1
1.11825	1.1995	to	slt	arctic_a0014_slt	5	[0.068947]	0	0
1.1995	1.6495	business	slt	arctic_a0014_slt	6	[0.416404, 0.153926]	1	3
1.6495	1.96825	Phil	slt	arctic_a0014_slt	7	[0.258215]	1	3
1.96825	2.1182499	he	slt	arctic_a0014_slt	8	[0.118357]	0	0
2.1182499	2.7620001	exclaimed	slt	arctic_a0014_slt	9	[0.040085, 0.179891]	1	3
2.7620001	0.0	.	slt	arctic_a0014_slt	10		0	0
0.0	0.19949999	.	slt	arctic_a0015_slt	0		0	0
0.19949999	0.41824999	It's	slt	arctic_a0015_slt	1		0	0
0.41824999	0.53074998	the	slt	arctic_a0015_slt	2	[0.247184]	0	0
0.53074998	0.96200001	aurora	slt	arctic_a0015_slt	3	[0.316283, 1.043487, 0.078293]	1	3
0.96200001	1.7869999	borealis	slt	arctic_a0015_slt	4	[0.078293, 0.371737, 0.211104, 0.680949, 0.116645]	1	1
1.7869999	0.0	.	slt	arctic_a0015_slt	5		0	0
0.0	0.1745	.	slt	arctic_a0016_slt	0		0	0
0.1745	0.45574999	There's	slt	arctic_a0016_slt	1		0	1
0.45574999	0.68075001	Fort	slt	arctic_a0016_slt	2	[0.272348]	0	0
0.68075001	1.212	Churchill	slt	arctic_a0016_slt	3	[0.397846, 0.185424]	1	1
1.212	1.362	.	slt	arctic_a0016_slt	4		0	0
1.362	1.3995	a	slt	arctic_a0016_slt	5	[0.070417]	0	0
1.3995	1.74325	rifle	slt	arctic_a0016_slt	6	[1.005931, 0.038307]	1	3
1.74325	1.99325	shot	slt	arctic_a0016_slt	7	[0.988425]	1	1
1.99325	2.3182499	beyond	slt	arctic_a0016_slt	8	[0.17412, 0.477504]	1	0
2.3182499	2.3745	the	slt	arctic_a0016_slt	9	[0.320068]	0	0
2.3745	2.812	ridge	slt	arctic_a0016_slt	10	[0.541091]	1	3
2.812	2.9995	.	slt	arctic_a0016_slt	11		0	0
2.9995	3.5432501	asleep	slt	arctic_a0016_slt	12	[0.056099, 0.322267]	1	3
3.5432501	0.0	.	slt	arctic_a0016_slt	13		0	0
0.0	0.15575001	.	slt	arctic_a0017_slt	0		0	0
0.15575001	0.33700001	From	slt	arctic_a0017_slt	1		0	0
0.33700001	0.51200002	that	slt	arctic_a0017_slt	2	[1.159165]	1	0
0.51200002	0.93699998	moment	slt	arctic_a0017_slt	3	[0.344873, 0.133588]	0	1
0.93699998	1.137	his	slt	arctic_a0017_slt	4	[0.049826]	0	0
1.137	1.61825	friendship	slt	arctic_a0017_slt	5	[0.154239, 0.235041]	1	1
1.61825	1.79325	for	slt	arctic_a0017_slt	6	[0.056517]	0	0
1.79325	2.2995	Belize	slt	arctic_a0017_slt	7	[0.153591, 0.372909]	1	1
2.2995	2.6245	turns	slt	arctic_a0017_slt	8	[0.104147]	0	0
2.6245	2.687	to	slt	arctic_a0017_slt	9	[0.060139]	0	0
2.687	3.0869999	hatred	slt	arctic_a0017_slt	10	[0.231007, 0.094396]	1	1
3.0869999	3.2557499	and	slt	arctic_a0017_slt	11	[0.416451]	1	0
3.2557499	3.89325	jealousy	slt	arctic_a0017_slt	12	[0.182715, 0.047998, 0.246264]	1	1
3.89325	0.0	.	slt	arctic_a0017_slt	13		0	0
0.0	0.16824999	.	slt	arctic_a0018_slt	0		0	0
0.16824999	0.28075001	There	slt	arctic_a0018_slt	1		0	0
0.28075001	0.48699999	was	slt	arctic_a0018_slt	2	[0.16744]	0	0
0.48699999	0.52450001	a	slt	arctic_a0018_slt	3	[0.110239]	0	0
0.52450001	1.01825	change	slt	arctic_a0018_slt	4	[0.577233]	1	1
1.01825	1.36825	now	slt	arctic_a0018_slt	5	[0.92017]	1	0
1.36825	0.0	.	slt	arctic_a0018_slt	6		0	0
0.0	0.0	.	slt	arctic_a0019_slt	0		0	0
0.0	0.20575	.	slt	arctic_a0019_slt	1		0	0
0.20575	0.29324999	I	slt	arctic_a0019_slt	2		0	0
0.29324999	0.68699998	followed	slt	arctic_a0019_slt	3	[0.575599, 0.305486]	1	1
0.68699998	0.74325001	the	slt	arctic_a0019_slt	4	[0.11942]	0	0
0.74325001	1.11825	line	slt	arctic_a0019_slt	5	[0.903024]	1	6
1.11825	1.21825	of	slt	arctic_a0019_slt	6	[0.064025]	0	0
1.21825	1.28075	the	slt	arctic_a0019_slt	7	[0.230472]	1	0
1.28075	1.74325	proposed	slt	arctic_a0019_slt	8	[0.230472, 0.006629, 0.366464]	1	1
1.74325	2.34325	railroad	slt	arctic_a0019_slt	9	[0.157666, 0.333827]	1	3
2.34325	2.6307499	looking	slt	arctic_a0019_slt	10	[0.018703, 0.017672]	0	0
2.6307499	2.7432499	for	slt	arctic_a0019_slt	11	[0.012609]	0	0
2.7432499	3.4432499	chances	slt	arctic_a0019_slt	12	[0.277355, 0.140337]	1	1
3.4432499	0.0	.	slt	arctic_a0019_slt	13		0	0
0.0	0.086999997	.	slt	arctic_a0020_slt	0		0	0
0.086999997	0.54325002	Clubs	slt	arctic_a0020_slt	1		0	1
0.54325002	0.69325	and	slt	arctic_a0020_slt	2	[0.070401]	0	0
0.69325	1.09325	balls	slt	arctic_a0020_slt	3	[1.057806, 0.022165]	1	1
1.09325	1.1995	and	slt	arctic_a0020_slt	4	[0.022165]	0	0
1.1995	1.65575	cities	slt	arctic_a0020_slt	5	[0.311668, 0.216839]	1	6
1.65575	1.8807499	grew	slt	arctic_a0020_slt	6	[0.180216]	1	0
1.8807499	2.0057499	to	slt	arctic_a0020_slt	7	[0.025569]	0	0
2.0057499	2.1619999	be	slt	arctic_a0020_slt	8	[0.243081]	1	0
2.1619999	2.40575	only	slt	arctic_a0020_slt	9	[0.213484, 0.055531]	1	0
2.40575	3.0495	memories	slt	arctic_a0020_slt	10	[0.100823, 0.157904, 0.0771]	1	3
3.0495	0.0	.	slt	arctic_a0020_slt	11		0	0
0.0	0.20575	.	slt	arctic_a0021_slt	0		0	0
0.20575	0.31200001	It	slt	arctic_a0021_slt	1		0	0
0.31200001	0.71824998	fairly	slt	arctic_a0021_slt	2	[0.7009, 0.423713]	1	1
0.71824998	1.08075	clubbed	slt	arctic_a0021_slt	3	[1.14717]	1	1
1.08075	1.2745	me	slt	arctic_a0021_slt	4	[0.440909]	0	0
1.2745	1.487	into	slt	arctic_a0021_slt	5	[0.230834, 0.105553]	0	0
1.487	2.1995001	recognizing	slt	arctic_a0021_slt	6	[0.512777, 0.012454, 0.46196, 0.090105]	1	3
2.1995001	2.3494999	it	slt	arctic_a0021_slt	7	[0.215887]	1	0
2.3494999	0.0	.	slt	arctic_a0021_slt	8		0	0
0.0	0.16824999	.	slt	arctic_a0022_slt	0		0	0
0.16824999	0.59324998	Hardly	slt	arctic_a0022_slt	1	[0.908964]	1	1
0.59324998	0.82450002	were	slt	arctic_a0022_slt	2	[0.9, 0.148672]	1	0
0.82450002	0.86825001	our	slt	arctic_a0022_slt	3	[0.148672, 0.138047]	0	0
0.86825001	1.26825	plans	slt	arctic_a0022_slt	4	[0.138047, 0.423766]	0	1
1.26825	1.49325	made	slt	arctic_a0022_slt	5	[0.729901]	1	0
1.49325	1.90575	public	slt	arctic_a0022_slt	6	[0.438961, 0.12837]	0	1
1.90575	2.2432499	before	slt	arctic_a0022_slt	7	[0.074201, 0.269341]	1	1
2.2432499	2.3807499	we	slt	arctic_a0022_slt	8	[0.168097]	0	0
2.3807499	2.53075	were	slt	arctic_a0022_slt	9	[0.234678]	0	0
2.53075	2.7432499	met	slt	arctic_a0022_slt	10	[0.790557]	1	0
2.7432499	2.937	by	slt	arctic_a0022_slt	11	[0.388527]	0	0
2.937	3.4119999	powerful	slt	arctic_a0022_slt	12	[1.058607, 0.338463, 0.057548]	1	1
3.4119999	4.1182499	opposition	slt	arctic_a0022_slt	13	[0.914438, 0.037665, 0.101623, 0.095309]	1	6
4.1182499	0.0	.	slt	arctic_a0022_slt	14		0	0
0.0	0.0	.	slt	arctic_a0023_slt	0		0	0
0.0	0.086999997	.	slt	arctic_a0023_slt	1		0	0
0.086999997	0.14325	A	slt	arctic_a0023_slt	2		0	0
0.14325	0.85575002	combination	slt	arctic_a0023_slt	3	[0.854544, 0.641654, 0.903571, 0.050992]	1	5
0.85575002	0.95574999	of	slt	arctic_a0023_slt	4	[0.25266]	1	0
0.95574999	1.4744999	Canadian	slt	arctic_a0023_slt	5	[0.07556, 0.422799, 0.272219, 0.126567]	1	1
1.4744999	1.937	capital	slt	arctic_a0023_slt	6	[0.861953, 0.024411, 0.139683]	1	1
1.937	2.33075	quickly	slt	arctic_a0023_slt	7	[0.381591, 0.359146]	1	1
2.33075	2.8682499	organized	slt	arctic_a0023_slt	8	[0.367327, 0.090667, 0.81682]	1	1
2.8682499	2.9744999	and	slt	arctic_a0023_slt	9	[0.073698]	0	0
2.9744999	3.46825	petitioned	slt	arctic_a0023_slt	10	[0.057851, 0.232036, 0.057344]	1	1
3.46825	3.59325	for	slt	arctic_a0023_slt	11	[0.022735]	0	0
3.59325	3.70575	the	slt	arctic_a0023_slt	12	[0.068415]	0	0
3.70575	3.9995	same	slt	arctic_a0023_slt	13	[0.252076]	1	1
3.9995	4.7432499	privileges	slt	arctic_a0023_slt	14	[0.065764, 0.101464, 0.201183]	1	1
4.7432499	0.0	.	slt	arctic_a0023_slt	15		0	0
0.0	0.19949999	.	slt	arctic_a0024_slt	0		0	0
0.19949999	0.27450001	It	slt	arctic_a0024_slt	1		0	0
0.27450001	0.48699999	was	slt	arctic_a0024_slt	2	[0.119971]	0	0
0.48699999	0.68075001	my	slt	arctic_a0024_slt	3	[0.638635]	1	0
0.68075001	1.14325	reports	slt	arctic_a0024_slt	4	[0.060662, 0.09705]	1	1
1.14325	1.337	from	slt	arctic_a0024_slt	5	[0.075729]	1	0
1.337	1.39325	the	slt	arctic_a0024_slt	6	[0.039822]	0	0
1.39325	1.712	north	slt	arctic_a0024_slt	7	[0.039822, 0.287187]	1	1
1.712	2.0244999	which	slt	arctic_a0024_slt	8	[0.05359]	0	0
2.0244999	2.51825	chiefly	slt	arctic_a0024_slt	9	[0.23293, 0.583203, 0.125927]	1	3
2.51825	2.9245	induced	slt	arctic_a0024_slt	10	[0.125927, 0.198267]	1	1
2.9245	3.20575	people	slt	arctic_a0024_slt	11	[0.064352, 0.020958]	0	0
3.20575	3.3182499	to	slt	arctic_a0024_slt	12	[0.031557]	0	0
3.3182499	3.7620001	buy	slt	arctic_a0024_slt	13	[0.931656]	1	1
3.7620001	0.0	.	slt	arctic_a0024_slt	14		0	0
0.0	0.0	.	slt	arctic_a0025_slt	0		0	0
0.0	0.20575	.	slt	arctic_a0025_slt	1		0	0
0.20575	0.29949999	I	slt	arctic_a0025_slt	2		0	0
0.29949999	0.49325001	was	slt	arctic_a0025_slt	3	[0.142213]	0	0
0.49325001	0.80575001	about	slt	arctic_a0025_slt	4	[0.139403, 0.906903]	1	1
0.80575001	0.92449999	to	slt	arctic_a0025_slt	5	[0.091684]	0	0
0.92449999	1.112	do	slt	arctic_a0025_slt	6	[0.79141]	1	0
1.112	1.362	this	slt	arctic_a0025_slt	7	[0.305115]	0	0
1.362	1.51825	when	slt	arctic_a0025_slt	8	[0.058526]	0	0
1.51825	1.8807499	cooler	slt	arctic_a0025_slt	9	[0.114552, 0.099232]	0	1
1.8807499	2.3557501	judgment	slt	arctic_a0025_slt	10	[0.496528, 0.151489]	1	1
2.3557501	2.96825	prevailed	slt	arctic_a0025_slt	11	[0.049783, 0.711033]	1	1
2.96825	0.0	.	slt	arctic_a0025_slt	12		0	0
0.0	0.20575	.	slt	arctic_a0026_slt	0		0	0
0.20575	0.32449999	It	slt	arctic_a0026_slt	1		0	0
0.32449999	0.65574998	occurred	slt	arctic_a0026_slt	2	[0.173472, 0.983469]	1	1
0.65574998	0.75575	to	slt	arctic_a0026_slt	3	[0.120993]	0	0
0.75575	0.96200001	me	slt	arctic_a0026_slt	4	[0.347591]	1	0
0.96200001	1.112	that	slt	arctic_a0026_slt	5	[0.205699]	0	0
1.112	1.28075	there	slt	arctic_a0026_slt	6	[0.202488]	0	0
1.28075	1.43075	would	slt	arctic_a0026_slt	7	[0.152347]	0	0
1.43075	1.65575	have	slt	arctic_a0026_slt	8	[0.557785]	1	0
1.65575	1.76825	to	slt	arctic_a0026_slt	9	[0.088074]	0	0
1.76825	1.9245	be	slt	arctic_a0026_slt	10	[0.299304]	1	0
1.9245	2.0432501	an	slt	arctic_a0026_slt	11	[0.152745]	0	0
2.0432501	2.6370001	accounting	slt	arctic_a0026_slt	12	[0.094289, 0.453783, 0.22748]	1	1
2.6370001	0.0	.	slt	arctic_a0026_slt	13		0	0
0.0	0.0	.	slt	arctic_a0027_slt	0		0	0
0.0	0.18075	.	slt	arctic_a0027_slt	1		0	0
0.18075	0.28075001	To	slt	arctic_a0027_slt	2		0	0
0.28075001	0.49950001	my	slt	arctic_a0027_slt	3	[0.999373]	1	0
0.49950001	1.012	surprise	slt	arctic_a0027_slt	4	[0.031305, 0.94025]	1	1
1.012	1.11825	he	slt	arctic_a0027_slt	5	[0.064064]	0	0
1.11825	1.45575	began	slt	arctic_a0027_slt	6	[0.22991, 0.220743]	1	0
1.45575	1.55575	to	slt	arctic_a0027_slt	7	[0.024894]	0	0
1.55575	1.84325	show	slt	arctic_a0027_slt	8	[0.024894, 0.621401]	0	1
1.84325	2.3557501	actual	slt	arctic_a0027_slt	9	[1.087607, 0.197816, 0.031569, 0.040123]	1	1
2.3557501	3.112	enthusiasm	slt	arctic_a0027_slt	10	[0.040123, 0.317451, 0.205892, 0.26837, 0.067804]	1	2
3.112	3.20575	in	slt	arctic_a0027_slt	11	[0.051891]	0	0
3.20575	3.39325	my	slt	arctic_a0027_slt	12	[0.246791]	0	0
3.39325	3.9495001	favor	slt	arctic_a0027_slt	13	[0.341867, 0.269213]	1	1
3.9495001	0.0	.	slt	arctic_a0027_slt	14		0	0
0.0	0.212	.	slt	arctic_a0028_slt	0		0	0
0.212	0.76200002	Robbery	slt	arctic_a0028_slt	1	[0.208445, 0.312877]	1	5
0.76200002	1.58075	bribery	slt	arctic_a0028_slt	2	[0.496142, 0.19299, 0.360001]	1	3
1.58075	2.2432499	fraud	slt	arctic_a0028_slt	3	[0.915812]	1	1
2.2432499	0.0	.	slt	arctic_a0028_slt	4		0	0
0.0	0.1745	.	slt	arctic_a0029_slt	0		0	0
0.1745	0.31825	Their	slt	arctic_a0029_slt	1		0	0
0.31825	0.82450002	forces	slt	arctic_a0029_slt	2	[0.620489, 0.751202]	1	1
