david	word	voice	batch	file	interval_no	onset	offset	tag1	tagger	joe	todd	mallory
2	wonderful	rms	B	arctic_a0105_rms	5	1.072	1.832	[0.468918, 0.203785, 0.012617]	0	2	2	1
0	so	rms	B	arctic_a0105_rms	6	1.832	2.1819999	[0.543806]	0	0	0	0
0	almost	rms	B	arctic_a0105_rms	7	2.1819999	2.5420001	[0.608148]	1	1	0	2
2	impossible	rms	B	arctic_a0105_rms	8	2.5420001	3.132	[0.055795, 0.355403, 0.070326, 0.035987]	1	1	3	2
0	to	rms	B	arctic_a0105_rms	9	3.132	3.2420001	[0.013988]	0	0	0	0
2	believe	rms	B	arctic_a0105_rms	10	3.2420001	3.882	[0.013988, 0.061585, 0.616451]	1	0	2	1
0	.	rms	B	arctic_a0105_rms	11	3.882	0.0		0	0	0	0
0	.	slt	B	arctic_a0105_slt	0	0.0	0.0		0	0	0	0
0	.	slt	B	arctic_a0105_slt	1	0.0	0.20575		0	0	0	0
1	Only	slt	B	arctic_a0105_slt	2	0.20575	0.69950002	[0.462016]	1	0	1	0
0	it	slt	B	arctic_a0105_slt	3	0.69950002	0.83700001	[0.302991]	0	0	0	0
0	is	slt	B	arctic_a0105_slt	4	0.83700001	0.92449999	[0.153122]	0	0	0	0
2	so	slt	B	arctic_a0105_slt	5	0.92449999	1.16825	[0.840353]	1	2	0	2
1	wonderful	slt	B	arctic_a0105_slt	6	1.16825	1.7745	[0.703038, 0.159926, 0.074565]	1	0	3	1
0	.	slt	B	arctic_a0105_slt	7	1.7745	1.86825		0	0	0	0
0	so	slt	B	arctic_a0105_slt	8	1.86825	2.0557499	[0.261227]	0	0	0	1
0	almost	slt	B	arctic_a0105_slt	9	2.0557499	2.487	[0.664787, 0.229479]	1	1	2	0
2	impossible	slt	B	arctic_a0105_slt	10	2.487	3.0557499	[0.085848, 0.904064, 0.050327, 0.042218]	1	1	2	1
0	to	slt	B	arctic_a0105_slt	11	3.0557499	3.187	[0.287613]	1	0	0	0
2	believe	slt	B	arctic_a0105_slt	12	3.187	3.7557499	[0.072278, 0.57228]	1	0	2	1
0	.	slt	B	arctic_a0105_slt	13	3.7557499	0.0		0	0	0	0
0	.	rms	B	arctic_a0106_rms	0	0.0	0.092		0	0	0	0
0	The	rms	B	arctic_a0106_rms	1	0.092	0.39199999		0	0	0	0
2	emotion	rms	B	arctic_a0106_rms	2	0.39199999	0.96200001	[1.156864, 0.136316]	1	2	2	2
0	which	rms	B	arctic_a0106_rms	3	0.96200001	1.332	[0.098148]	0	0	0	0
0	she	rms	B	arctic_a0106_rms	4	1.332	1.582	[0.260642]	1	0	0	1
0	had	rms	B	arctic_a0106_rms	5	1.582	1.762	[0.282198]	1	0	0	1
2	suppressed	rms	B	arctic_a0106_rms	6	1.762	2.392	[0.016903, 0.55875]	1	1	2	2
2	burst	rms	B	arctic_a0106_rms	7	2.392	2.7720001	[1.128214]	1	1	1	1
1	forth	rms	B	arctic_a0106_rms	8	2.7720001	3.1719999	[0.331872]	0	1	0	1
0	now	rms	B	arctic_a0106_rms	9	3.1719999	3.4920001	[0.590558]	1	0	0	0
0	in	rms	B	arctic_a0106_rms	10	3.4920001	3.622	[0.108989]	0	0	0	0
0	a	rms	B	arctic_a0106_rms	11	3.622	3.652	[0.255924]	0	0	0	0
2	choking	rms	B	arctic_a0106_rms	12	3.652	4.112	[0.4527, 0.018322]	1	1	1	1
2	sob	rms	B	arctic_a0106_rms	13	4.112	4.632	[1.103499]	1	0	2	1
0	.	rms	B	arctic_a0106_rms	14	4.632	0.0		0	0	0	0
0	.	slt	B	arctic_a0106_slt	0	0.0	0.1495		0	0	0	0
0	The	slt	B	arctic_a0106_slt	1	0.1495	0.28075001	[0.050244]	0	0	0	0
1	emotion	slt	B	arctic_a0106_slt	2	0.28075001	0.75575	[0.050244, 0.49157, 0.206585]	1	1	1	1
0	which	slt	B	arctic_a0106_slt	3	0.75575	0.94950002	[0.031814]	0	0	0	0
0	she	slt	B	arctic_a0106_slt	4	0.94950002	1.15575	[0.169395]	1	0	0	0
0	had	slt	B	arctic_a0106_slt	5	1.15575	1.30575	[0.072908]	0	0	0	0
2	suppressed	slt	B	arctic_a0106_slt	6	1.30575	1.83075	[0.036259, 0.484607]	1	1	2	2
1	burst	slt	B	arctic_a0106_slt	7	1.83075	2.0682499	[0.244001]	0	0	0	1
2	forth	slt	B	arctic_a0106_slt	8	2.0682499	2.4619999	[0.260796]	1	2	1	1
0	now	slt	B	arctic_a0106_slt	9	2.4619999	2.7495	[0.535198]	1	0	0	0
0	in	slt	B	arctic_a0106_slt	10	2.7495	2.862	[0.052759]	0	0	0	0
0	a	slt	B	arctic_a0106_slt	11	2.862	2.8994999	[0.047794]	0	0	0	0
2	choking	slt	B	arctic_a0106_slt	12	2.8994999	3.3494999	[0.195938, 0.058894]	1	0	0	2
2	sob	slt	B	arctic_a0106_slt	13	3.3494999	3.83075	[0.930168]	1	2	2	2
0	.	slt	B	arctic_a0106_slt	14	3.83075	0.0		0	0	0	0
0	.	rms	B	arctic_a0107_rms	0	0.0	0.092		0	0	0	0
0	If	rms	B	arctic_a0107_rms	1	0.092	0.292		0	0	0	0
0	you	rms	B	arctic_a0107_rms	2	0.292	0.472	[0.252795]	0	0	0	0
1	only	rms	B	arctic_a0107_rms	3	0.472	0.75199997	[0.699135, 0.348023]	1	2	3	0
0	could	rms	B	arctic_a0107_rms	4	0.75199997	0.99199998	[0.207178]	0	0	0	0
1	know	rms	B	arctic_a0107_rms	5	0.99199998	1.302	[0.652413]	1	2	0	0
0	how	rms	B	arctic_a0107_rms	6	1.302	1.522	[0.928937]	1	0	1	1
0	I	rms	B	arctic_a0107_rms	7	1.522	1.652	[0.402258]	0	0	2	1
2	thank	rms	B	arctic_a0107_rms	8	1.652	2.062	[0.302392]	0	1	2	2
1	you	rms	B	arctic_a0107_rms	9	2.062	2.2320001	[0.087341]	0	0	1	1
0	.	rms	B	arctic_a0107_rms	10	2.2320001	0.0		0	0	0	0
0	.	slt	B	arctic_a0107_slt	0	0.0	0.19325		0	0	0	0
0	If	slt	B	arctic_a0107_slt	1	0.19325	0.30575001		0	0	0	0
0	you	slt	B	arctic_a0107_slt	2	0.30575001	0.49950001	[0.241881]	0	0	0	0
1	only	slt	B	arctic_a0107_slt	3	0.49950001	0.7245	[0.372729, 0.100685]	1	1	1	0
0	could	slt	B	arctic_a0107_slt	4	0.7245	0.91825002	[0.219846]	0	0	0	0
2	know	slt	B	arctic_a0107_slt	5	0.91825002	1.1932499	[0.9212]	1	3	2	0
0	how	slt	B	arctic_a0107_slt	6	1.1932499	1.36825	[0.60594]	0	0	0	0
0	I	slt	B	arctic_a0107_slt	7	1.36825	1.462	[0.380429]	0	0	0	0
2	thank	slt	B	arctic_a0107_slt	8	1.462	1.7995	[0.327766]	0	0	2	2
1	you	slt	B	arctic_a0107_slt	9	1.7995	1.99325	[0.463353]	1	0	0	1
0	.	slt	B	arctic_a0107_slt	10	1.99325	0.0		0	0	0	0
0	.	rms	B	arctic_a0108_rms	0	0.0	0.061999999		0	0	0	0
0	He	rms	B	arctic_a0108_rms	1	0.061999999	0.222		0	0	2	0
2	waded	rms	B	arctic_a0108_rms	2	0.222	0.65200001	[1.279877, 0.450684]	1	1	0	1
0	into	rms	B	arctic_a0108_rms	3	0.65200001	0.95200002	[0.220968, 0.066462]	0	0	0	0
0	the	rms	B	arctic_a0108_rms	4	0.95200002	1.122	[0.350322]	0	0	0	0
2	edge	rms	B	arctic_a0108_rms	5	1.122	1.382	[0.647135, 0.02681]	1	1	1	0
0	of	rms	B	arctic_a0108_rms	6	1.382	1.472	[0.02681]	0	0	0	0
0	the	rms	B	arctic_a0108_rms	7	1.472	1.5319999	[0.09791]	0	0	0	0
2	water	rms	B	arctic_a0108_rms	8	1.5319999	2.0320001	[0.09791, 0.649037, 0.424061]	1	2	3	1
0	and	rms	B	arctic_a0108_rms	9	2.0320001	2.2219999	[0.08969]	0	0	0	0
1	began	rms	B	arctic_a0108_rms	10	2.2219999	2.552	[0.140227, 0.553111]	1	0	0	0
2	scrubbing	rms	B	arctic_a0108_rms	11	2.552	3.072	[0.042686, 0.177673]	1	1	2	3
1	himself	rms	B	arctic_a0108_rms	12	3.072	3.7019999	[0.03952, 0.290053]	1	0	2	0
0	.	rms	B	arctic_a0108_rms	13	3.7019999	0.0		0	0	0	0
0	.	slt	B	arctic_a0108_slt	0	0.0	0.13075		0	0	0	0
0	He	slt	B	arctic_a0108_slt	1	0.13075	0.26199999		0	0	0	0
1	waded	slt	B	arctic_a0108_slt	2	0.26199999	0.70574999	[0.919511, 0.331844]	1	1	2	1
0	into	slt	B	arctic_a0108_slt	3	0.70574999	0.94950002	[0.177136, 0.064568]	0	0	0	0
0	the	slt	B	arctic_a0108_slt	4	0.94950002	1.0994999	[0.528688]	0	0	0	0
1	edge	slt	B	arctic_a0108_slt	5	1.0994999	1.362	[0.61687, 0.023704]	1	1	2	0
0	of	slt	B	arctic_a0108_slt	6	1.362	1.3995	[0.023704]	0	0	0	0
0	the	slt	B	arctic_a0108_slt	7	1.3995	1.4744999	[0.13691]	0	0	0	0
2	water	slt	B	arctic_a0108_slt	8	1.4744999	1.9245	[0.9, 0.400614]	1	2	3	0
0	and	slt	B	arctic_a0108_slt	9	1.9245	2.0682499	[0.112669]	0	0	0	0
0	began	slt	B	arctic_a0108_slt	10	2.0682499	2.3807499	[0.096015, 0.655473]	1	0	0	2
2	scrubbing	slt	B	arctic_a0108_slt	11	2.3807499	2.78075	[0.425446, 0.086935]	0	1	2	1
0	himself	slt	B	arctic_a0108_slt	12	2.78075	3.34325	[0.060277, 0.133395]	1	1	1	1
0	.	slt	B	arctic_a0108_slt	13	3.34325	0.0		0	0	0	0
0	.	rms	B	arctic_a0109_rms	0	0.0	0.122		0	0	0	0
0	Do	rms	B	arctic_a0109_rms	1	0.122	0.252		0	0	0	0
0	you	rms	B	arctic_a0109_rms	2	0.252	0.412		0	0	0	0
1	know	rms	B	arctic_a0109_rms	3	0.412	0.662	[1.288415]	1	1	1	0
0	that	rms	B	arctic_a0109_rms	4	0.662	0.84200001	[0.149935]	0	0	0	0
0	you	rms	B	arctic_a0109_rms	5	0.84200001	0.98199999	[0.466504]	1	0	0	0
0	are	rms	B	arctic_a0109_rms	6	0.98199999	1.072	[0.08075]	0	0	0	0
2	shaking	rms	B	arctic_a0109_rms	7	1.072	1.512	[0.866847, 0.038946]	1	2	2	2
0	my	rms	B	arctic_a0109_rms	8	1.512	1.652	[0.723839]	1	0	0	1
2	confidence	rms	B	arctic_a0109_rms	9	1.652	2.402	[0.454435, 0.149361, 0.413439]	1	0	2	2
0	in	rms	B	arctic_a0109_rms	10	2.402	2.562	[0.341392]	0	0	0	0
1	you	rms	B	arctic_a0109_rms	11	2.562	2.9219999	[0.263963]	1	0	1	1
0	.	rms	B	arctic_a0109_rms	12	2.9219999	0.0		0	0	0	0
0	.	slt	B	arctic_a0109_slt	0	0.0	0.1495		0	0	0	0
0	Do	slt	B	arctic_a0109_slt	1	0.1495	0.29949999		0	0	0	2
0	you	slt	B	arctic_a0109_slt	2	0.29949999	0.38699999	[0.298668]	0	0	0	2
1	know	slt	B	arctic_a0109_slt	3	0.38699999	0.64950001	[0.983077]	1	1	1	2
0	that	slt	B	arctic_a0109_slt	4	0.64950001	0.78074998	[0.284564]	0	0	0	0
0	you	slt	B	arctic_a0109_slt	5	0.78074998	0.90574998	[0.222301]	0	0	0	0
0	are	slt	B	arctic_a0109_slt	6	0.90574998	1.01825	[0.281948]	0	0	0	0
1	shaking	slt	B	arctic_a0109_slt	7	1.01825	1.43075	[0.611932, 0.174012]	1	2	1	3
0	my	slt	B	arctic_a0109_slt	8	1.43075	1.5745	[0.578035]	1	0	0	0
2	confidence	slt	B	arctic_a0109_slt	9	1.5745	2.187	[0.565588, 0.073602, 0.202049]	2	1	2	1
0	in	slt	B	arctic_a0109_slt	10	2.187	2.2869999	[0.106]	0	0	0	1
0	you	slt	B	arctic_a0109_slt	11	2.2869999	2.5432501	[0.469911]	1	0	1	1
0	.	slt	B	arctic_a0109_slt	12	2.5432501	0.0		0	0	0	0
0	.	rms	B	arctic_a0110_rms	0	0.0	0.102		0	0	0	0
2	Much	rms	B	arctic_a0110_rms	1	0.102	0.59200001		0	2	3	2
0	replied	rms	B	arctic_a0110_rms	2	0.59200001	1.142	[0.011868, 0.925754]	1	0	1	1
2	Jeanne	rms	B	arctic_a0110_rms	3	1.142	1.6720001	[0.737534]	1	2	2	1
0	as	rms	B	arctic_a0110_rms	4	1.6720001	1.9220001	[0.277833]	0	0	0	0
2	tersely	rms	B	arctic_a0110_rms	5	1.9220001	2.4920001	[0.611796, 0.150571]	1	0	2	2
0	.	rms	B	arctic_a0110_rms	6	2.4920001	0.0		0	0	0	0
0	.	slt	B	arctic_a0110_slt	0	0.0	0.0		0	0	0	0
0	.	slt	B	arctic_a0110_slt	1	0.0	0.20575		0	0	0	0
2	Much	slt	B	arctic_a0110_slt	2	0.20575	0.64950001		0	2	2	3
0	.	slt	B	arctic_a0110_slt	3	0.64950001	0.74325001		0	0	0	0
0	replied	slt	B	arctic_a0110_slt	4	0.74325001	1.18075	[0.139927, 1.005573]	1	0	0	1
1	Jeanne	slt	B	arctic_a0110_slt	5	1.18075	1.637	[0.566319]	0	1	2	2
0	as	slt	B	arctic_a0110_slt	6	1.637	1.9495	[0.796587]	1	0	0	0
2	tersely	slt	B	arctic_a0110_slt	7	1.9495	2.6182499	[0.447298, 0.623868]	1	0	2	2
0	.	slt	B	arctic_a0110_slt	8	2.6182499	0.0		0	0	0	0
0	.	rms	B	arctic_a0111_rms	0	0.0	0.112		0	0	0	0
1	Instead	rms	B	arctic_a0111_rms	1	0.112	0.58200002	[0.790829]	1	1	1	2
0	he	rms	B	arctic_a0111_rms	2	0.58200002	0.70200002	[0.388551]	0	0	0	0
2	joined	rms	B	arctic_a0111_rms	3	0.70200002	1.092	[0.785446]	1	1	2	1
0	her	rms	B	arctic_a0111_rms	4	1.092	1.352	[0.578957]	1	0	0	1
0	.	rms	B	arctic_a0111_rms	5	1.352	1.602		0	0	0	0
0	and	rms	B	arctic_a0111_rms	6	1.602	1.762	[0.204583]	0	0	0	0
0	they	rms	B	arctic_a0111_rms	7	1.762	1.932		0	0	0	0
2	ate	rms	B	arctic_a0111_rms	8	1.932	2.2119999	[1.083733]	1	1	1	1
0	like	rms	B	arctic_a0111_rms	9	2.2119999	2.4619999	[0.319903]	0	0	0	1
1	two	rms	B	arctic_a0111_rms	10	2.4619999	2.6719999	[0.35356]	1	0	0	0
1	hungry	rms	B	arctic_a0111_rms	11	2.6719999	3.0320001	[0.23697, 0.131396]	0	0	1	1
2	children	rms	B	arctic_a0111_rms	12	3.0320001	3.632	[0.097301, 0.203745]	1	2	2	1
0	.	rms	B	arctic_a0111_rms	13	3.632	0.0		0	0	0	0
0	.	slt	B	arctic_a0111_slt	0	0.0	0.19949999		0	0	0	0
2	Instead	slt	B	arctic_a0111_slt	1	0.19949999	0.71200001	[0.967734]	1	1	2	0
0	he	slt	B	arctic_a0111_slt	2	0.71200001	0.93075001	[0.415653]	0	0	0	0
2	joined	slt	B	arctic_a0111_slt	3	0.93075001	1.28075	[0.710713]	1	2	3	1
0	her	slt	B	arctic_a0111_slt	4	1.28075	1.55575	[0.63323]	1	0	1	1
0	and	slt	B	arctic_a0111_slt	5	1.55575	1.6995	[0.164968]	0	0	0	0
0	they	slt	B	arctic_a0111_slt	6	1.6995	1.9119999	[0.769989]	1	0	0	0
2	ate	slt	B	arctic_a0111_slt	7	1.9119999	2.1245	[0.459666]	0	0	2	2
0	like	slt	B	arctic_a0111_slt	8	2.1245	2.3682499	[0.296046]	0	0	0	0
2	two	slt	B	arctic_a0111_slt	9	2.3682499	2.6370001	[0.554765]	1	1	2	0
0	hungry	slt	B	arctic_a0111_slt	10	2.6370001	2.95575	[0.152743, 0.15598]	0	0	1	2
2	children	slt	B	arctic_a0111_slt	11	2.95575	3.51825	[0.080234, 0.110508]	1	0	1	1
0	.	slt	B	arctic_a0111_slt	12	3.51825	0.0		0	0	0	0
0	.	rms	B	arctic_a0112_rms	0	0.0	0.071999997		0	0	0	0
0	He	rms	B	arctic_a0112_rms	1	0.071999997	0.252		0	0	1	0
0	was	rms	B	arctic_a0112_rms	2	0.252	0.48199999	[0.379161]	0	0	0	0
2	wounded	rms	B	arctic_a0112_rms	3	0.48199999	0.88200003	[0.751472, 0.799978]	2	1	2	3
0	in	rms	B	arctic_a0112_rms	4	0.88200003	1.0420001	[0.451122]	0	0	0	0
0	the	rms	B	arctic_a0112_rms	5	1.0420001	1.1720001	[0.776669]	1	0	0	0
2	arm	rms	B	arctic_a0112_rms	6	1.1720001	1.642	[1.010358]	1	2	2	1
0	.	rms	B	arctic_a0112_rms	7	1.642	0.0		0	0	0	0
0	.	slt	B	arctic_a0112_slt	0	0.0	0.13075		0	0	0	0
0	He	slt	B	arctic_a0112_slt	1	0.13075	0.26199999		0	0	1	0
0	was	slt	B	arctic_a0112_slt	2	0.26199999	0.49950001	[0.291726]	0	0	0	0
2	wounded	slt	B	arctic_a0112_slt	3	0.49950001	0.90574998	[0.746819, 0.37516]	1	2	2	2
0	in	slt	B	arctic_a0112_slt	4	0.90574998	1.01825	[0.166686]	0	0	0	0
0	the	slt	B	arctic_a0112_slt	5	1.01825	1.1245	[0.267072]	0	0	0	0
2	arm	slt	B	arctic_a0112_slt	6	1.1245	1.5245	[0.9]	1	0	2	1
0	.	slt	B	arctic_a0112_slt	7	1.5245	0.0		0	0	0	0
0	.	rms	B	arctic_a0113_rms	0	0.0	0.102		0	0	0	0
0	I	rms	B	arctic_a0113_rms	1	0.102	0.212		0	0	0	0
2	suppose	rms	B	arctic_a0113_rms	2	0.212	0.77200001	[0.07295, 0.63396]	1	2	2	1
0	you	rms	B	arctic_a0113_rms	3	0.77200001	0.86199999	[0.156793]	0	0	0	0
0	picked	rms	B	arctic_a0113_rms	4	0.86199999	1.192	[0.250795]	0	0	0	0
0	that	rms	B	arctic_a0113_rms	5	1.192	1.392	[0.576539]	1	0	0	0
2	lingo	rms	B	arctic_a0113_rms	6	1.392	1.772	[0.475248, 0.70725]	1	1	2	3
0	up	rms	B	arctic_a0113_rms	7	1.772	2.082	[0.682325]	1	0	0	2
0	.	rms	B	arctic_a0113_rms	8	2.082	2.112		0	0	0	0
0	among	rms	B	arctic_a0113_rms	9	2.112	2.4119999	[0.10624, 0.621335]	1	0	1	0
0	the	rms	B	arctic_a0113_rms	10	2.4119999	2.572	[0.642573]	1	0	0	0
3	Indians	rms	B	arctic_a0113_rms	11	2.572	3.2920001	[0.419663, 0.344715, 0.214618]	0	1	2	1
0	.	rms	B	arctic_a0113_rms	12	3.2920001	0.0		0	0	0	0
0	.	slt	B	arctic_a0113_slt	0	0.0	0.19325		0	0	0	0
0	I	slt	B	arctic_a0113_slt	1	0.19325	0.24325		0	0	0	0
