todd	word	voice	batch	file	interval_no	onset	offset	tag1	tagger	mallory	joe	david
0	etc	slt	A	arctic_a0001_slt	11	2.6307499	3.1494999	[0.021521, 0.264693, 0.366311, 0.101969]	1	0	0	1
0	.	slt	A	arctic_a0001_slt	12	3.1494999	0.0		0	0	0	0
0	.	rms	A	arctic_a0002_rms	0	0.0	0.112		0	0	0	0
1	Not	rms	A	arctic_a0002_rms	1	0.112	0.31200001		0	1	1	0
0	at	rms	A	arctic_a0002_rms	2	0.31200001	0.43200001	[0.002931]	0	0	0	0
0	this	rms	A	arctic_a0002_rms	3	0.43200001	0.59200001	[0.002931, 0.066502]	0	0	0	0
2	particular	rms	A	arctic_a0002_rms	4	0.59200001	1.142	[0.103438, 0.376815, 0.062111, 0.112308]	1	0	1	0
1	case	rms	A	arctic_a0002_rms	5	1.142	1.582	[0.477508]	1	0	1	2
1	Tom	rms	A	arctic_a0002_rms	6	1.582	2.052	[0.33943]	1	2	0	1
0	apologized	rms	A	arctic_a0002_rms	7	2.052	2.802	[0.07743, 0.015656, 0.041012, 0.453285]	1	0	0	1
1	Whittemore	rms	A	arctic_a0002_rms	8	2.802	3.2620001	[0.038174, 0.151707]	1	1	0	2
0	.	rms	A	arctic_a0002_rms	9	3.2620001	0.0		0	0	0	0
0	.	slt	A	arctic_a0002_slt	0	0.0	0.19325		0	0	0	0
2	Not	slt	A	arctic_a0002_slt	1	0.19325	0.49950001	[1.251598]	1	0	1	0
0	at	slt	A	arctic_a0002_slt	2	0.49950001	0.60575002	[0.302677]	0	0	0	0
0	this	slt	A	arctic_a0002_slt	3	0.60575002	0.83700001	[0.191264]	0	0	0	0
1	particular	slt	A	arctic_a0002_slt	4	0.83700001	1.36825	[0.053702, 0.083411, 0.063203, 0.119394]	1	1	0	0
0	case	slt	A	arctic_a0002_slt	5	1.36825	1.837	[0.339881]	1	0	0	1
0	.	slt	A	arctic_a0002_slt	6	1.837	1.8807499		0	0	0	0
2	Tom	slt	A	arctic_a0002_slt	7	1.8807499	2.2995	[0.498376]	1	2	1	2
0	.	slt	A	arctic_a0002_slt	8	2.2995	2.3557501		0	0	0	0
1	apologized	slt	A	arctic_a0002_slt	9	2.3557501	3.0120001	[0.051129, 0.067285, 0.042715, 0.22891]	1	0	0	1
2	Whittemore	slt	A	arctic_a0002_slt	10	3.0120001	3.58075	[0.088811, 0.239362]	1	1	0	2
0	.	slt	A	arctic_a0002_slt	11	3.58075	0.0		0	0	0	0
0	.	rms	A	arctic_a0003_rms	0	0.0	0.061999999		0	0	0	0
0	For	rms	A	arctic_a0003_rms	1	0.061999999	0.31200001	[0.042003]	0	0	0	0
0	the	rms	A	arctic_a0003_rms	2	0.31200001	0.40200001	[0.107751]	0	0	0	0
2	twentieth	rms	A	arctic_a0003_rms	3	0.40200001	0.83200002	[0.107751, 0.094247, 0.769219, 0.294832]	1	1	1	1
0	time	rms	A	arctic_a0003_rms	4	0.83200002	1.142	[0.655134]	1	1	1	2
0	that	rms	A	arctic_a0003_rms	5	1.142	1.302	[0.539601]	0	0	0	0
1	evening	rms	A	arctic_a0003_rms	6	1.302	1.802	[0.971482, 0.169673]	1	1	1	2
0	the	rms	A	arctic_a0003_rms	7	1.802	1.892	[0.102676]	0	0	0	0
0	two	rms	A	arctic_a0003_rms	8	1.892	2.082	[0.102676, 0.300162]	0	0	0	0
0	men	rms	A	arctic_a0003_rms	9	2.082	2.312	[0.531139]	1	0	0	1
0	shook	rms	A	arctic_a0003_rms	10	2.312	2.622	[0.300397]	0	0	0	0
1	hands	rms	A	arctic_a0003_rms	11	2.622	3.122	[0.804036]	1	0	0	2
0	.	rms	A	arctic_a0003_rms	12	3.122	0.0		0	0	0	0
0	.	slt	A	arctic_a0003_slt	0	0.0	0.13699999		0	0	0	0
0	For	slt	A	arctic_a0003_slt	1	0.13699999	0.24325	[0.015087]	0	0	0	0
0	the	slt	A	arctic_a0003_slt	2	0.24325	0.36199999	[0.148492]	0	0	0	0
2	twentieth	slt	A	arctic_a0003_slt	3	0.36199999	0.81825	[0.358018, 0.150897, 0.124844]	1	1	2	1
1	time	slt	A	arctic_a0003_slt	4	0.81825	1.1495	[0.917807]	1	0	2	1
0	that	slt	A	arctic_a0003_slt	5	1.1495	1.3182499	[0.393716]	0	0	0	0
1	evening	slt	A	arctic_a0003_slt	6	1.3182499	1.7495	[0.443717, 0.122707]	1	0	1	1
0	the	slt	A	arctic_a0003_slt	7	1.7495	1.812	[0.038155]	0	0	0	0
0	two	slt	A	arctic_a0003_slt	8	1.812	2.0682499	[0.172362]	0	0	1	0
0	men	slt	A	arctic_a0003_slt	9	2.0682499	2.33075	[0.319518]	1	0	0	1
1	shook	slt	A	arctic_a0003_slt	10	2.33075	2.6182499	[0.142363]	0	0	0	0
1	hands	slt	A	arctic_a0003_slt	11	2.6182499	3.1370001	[0.456567]	1	0	0	2
0	.	slt	A	arctic_a0003_slt	12	3.1370001	0.0		0	0	0	0
0	.	rms	A	arctic_a0004_rms	0	0.0	0.032000002		0	0	0	0
2	Lord	rms	A	arctic_a0004_rms	1	0.032000002	0.40200001	[1.148007]	1	2	1	2
0	but	rms	A	arctic_a0004_rms	2	0.40200001	0.542	[0.414398]	0	0	0	0
0	I'm	rms	A	arctic_a0004_rms	3	0.542	0.69199997	[0.727587]	0	0	0	0
2	glad	rms	A	arctic_a0004_rms	4	0.69199997	0.93199998	[0.987836]	1	0	1	2
0	to	rms	A	arctic_a0004_rms	5	0.93199998	1.022	[0.0451]	0	0	0	0
0	see	rms	A	arctic_a0004_rms	6	1.022	1.222	[0.0451, 0.079614]	0	0	1	2
0	you	rms	A	arctic_a0004_rms	7	1.222	1.372	[0.308563]	0	0	0	0
1	again	rms	A	arctic_a0004_rms	8	1.372	1.742	[0.359959, 0.695956]	1	0	0	0
2	Phil	rms	A	arctic_a0004_rms	9	1.742	2.092	[0.328421]	0	1	1	2
0	.	rms	A	arctic_a0004_rms	10	2.092	0.0		0	0	0	0
0	.	slt	A	arctic_a0004_slt	0	0.0	0.212		0	0	0	0
2	Lord	slt	A	arctic_a0004_slt	1	0.212	0.61199999	[1.040852]	1	1	1	2
0	but	slt	A	arctic_a0004_slt	2	0.61199999	0.76824999	[0.441489]	0	0	0	0
0	I'm	slt	A	arctic_a0004_slt	3	0.76824999	0.88700002	[0.199524]	0	0	0	0
1	glad	slt	A	arctic_a0004_slt	4	0.88700002	1.1307499	[0.9]	1	0	1	2
0	to	slt	A	arctic_a0004_slt	5	1.1307499	1.23075	[0.203746]	0	0	0	0
0	see	slt	A	arctic_a0004_slt	6	1.23075	1.4432499	[0.203746, 0.391401]	1	0	1	1
0	you	slt	A	arctic_a0004_slt	7	1.4432499	1.5994999	[0.359461, 0.053472]	1	0	0	0
0	again	slt	A	arctic_a0004_slt	8	1.5994999	1.8995	[0.053472, 0.420447]	1	0	0	1
2	Phil	slt	A	arctic_a0004_slt	9	1.8995	2.3182499	[0.37347]	1	1	1	2
0	.	slt	A	arctic_a0004_slt	10	2.3182499	0.0		0	0	0	0
0	.	rms	A	arctic_a0005_rms	0	0.0	0.082000002		0	0	0	0
0	Will	rms	A	arctic_a0005_rms	1	0.082000002	0.31200001	[0.158465]	0	0	1	0
0	we	rms	A	arctic_a0005_rms	2	0.31200001	0.51200002	[0.884562]	1	0	0	0
2	ever	rms	A	arctic_a0005_rms	3	0.51200002	0.722	[0.594153, 0.723169]	1	0	1	2
0	forget	rms	A	arctic_a0005_rms	4	0.722	1.122	[0.316851, 1.030832]	1	2	0	2
0	it	rms	A	arctic_a0005_rms	5	1.122	1.302	[0.506148]	0	1	0	0
0	.	rms	A	arctic_a0005_rms	6	1.302	0.0		0	0	0	0
0	.	slt	A	arctic_a0005_slt	0	0.0	0.19949999		0	0	0	0
0	Will	slt	A	arctic_a0005_slt	1	0.19949999	0.36825001	[0.114197]	0	0	0	0
0	we	slt	A	arctic_a0005_slt	2	0.36825001	0.54325002	[0.500717]	0	0	0	0
2	ever	slt	A	arctic_a0005_slt	3	0.54325002	0.79949999	[0.9, 0.489937]	1	1	2	2
0	forget	slt	A	arctic_a0005_slt	4	0.79949999	1.187	[0.160177, 0.72408]	1	0	1	1
0	it	slt	A	arctic_a0005_slt	5	1.187	1.3182499	[0.355416]	0	0	0	1
0	.	slt	A	arctic_a0005_slt	6	1.3182499	0.0		0	0	0	0
0	.	rms	A	arctic_a0006_rms	0	0.0	0.071999997		0	0	0	0
2	God	rms	A	arctic_a0006_rms	1	0.071999997	0.31200001	[0.901093]	1	1	1	0
0	bless	rms	A	arctic_a0006_rms	2	0.31200001	0.64200002	[0.041422]	0	1	0	2
0	em	rms	A	arctic_a0006_rms	3	0.64200002	0.90200001	[0.07401]	1	2	0	0
0	I	rms	A	arctic_a0006_rms	4	0.90200001	1.0420001	[0.091566]	0	0	0	0
2	hope	rms	A	arctic_a0006_rms	5	1.0420001	1.262	[0.243012, 0.028061]	1	0	1	1
0	I'll	rms	A	arctic_a0006_rms	6	1.262	1.332	[0.028061]	0	0	0	0
0	go	rms	A	arctic_a0006_rms	7	1.332	1.582	[0.534621]	1	0	0	0
0	on	rms	A	arctic_a0006_rms	8	1.582	1.702	[0.243701]	0	0	0	0
1	seeing	rms	A	arctic_a0006_rms	9	1.702	2.072	[0.161692, 0.035742]	0	0	1	2
0	them	rms	A	arctic_a0006_rms	10	2.072	2.2520001	[0.185269]	1	0	0	0
2	forever	rms	A	arctic_a0006_rms	11	2.2520001	2.7219999	[0.170718, 0.169877, 0.23845]	1	0	0	2
0	.	rms	A	arctic_a0006_rms	12	2.7219999	0.0		0	0	0	0
0	.	slt	A	arctic_a0006_slt	0	0.0	0.0		0	0	0	0
0	.	slt	A	arctic_a0006_slt	1	0.0	0.19325		0	0	0	0
0	God	slt	A	arctic_a0006_slt	2	0.19325	0.41824999	[0.883566]	1	0	0	0
0	bless	slt	A	arctic_a0006_slt	3	0.41824999	0.76200002	[0.824013]	1	0	1	2
0	em	slt	A	arctic_a0006_slt	4	0.76200002	0.89324999	[0.269224]	0	0	0	0
0	I	slt	A	arctic_a0006_slt	5	0.89324999	1.01825	[0.9]	1	0	0	0
2	hope	slt	A	arctic_a0006_slt	6	1.01825	1.2869999	[0.41804]	0	1	1	1
0	I'll	slt	A	arctic_a0006_slt	7	1.2869999	1.36825	[0.303812]	0	0	0	0
0	go	slt	A	arctic_a0006_slt	8	1.36825	1.5994999	[0.575645]	1	0	0	0
0	on	slt	A	arctic_a0006_slt	9	1.5994999	1.7557499	[0.453127]	0	0	0	0
1	seeing	slt	A	arctic_a0006_slt	10	1.7557499	2.1307499	[0.385986, 0.049025]	1	0	1	2
0	them	slt	A	arctic_a0006_slt	11	2.1307499	2.2995	[0.237442]	0	0	0	0
2	forever	slt	A	arctic_a0006_slt	12	2.2995	2.84325	[0.24407, 0.37221, 0.322452]	1	0	0	2
0	.	slt	A	arctic_a0006_slt	13	2.84325	0.0		0	0	0	0
0	.	rms	A	arctic_a0007_rms	0	0.0	0.102		0	0	0	0
0	And	rms	A	arctic_a0007_rms	1	0.102	0.28200001	[0.812213]	1	0	0	0
0	you	rms	A	arctic_a0007_rms	2	0.28200001	0.412	[0.351683, 0.057319]	0	0	0	0
2	always	rms	A	arctic_a0007_rms	3	0.412	0.80199999	[0.057319, 0.691523]	1	1	1	1
0	want	rms	A	arctic_a0007_rms	4	0.80199999	0.98199999	[0.375506]	0	0	0	0
0	to	rms	A	arctic_a0007_rms	5	0.98199999	1.0420001	[0.170953]	0	0	0	0
0	see	rms	A	arctic_a0007_rms	6	1.0420001	1.312	[0.663528]	1	0	1	1
0	it	rms	A	arctic_a0007_rms	7	1.312	1.402		0	0	0	0
0	in	rms	A	arctic_a0007_rms	8	1.402	1.502	[0.360492]	0	0	0	0
0	the	rms	A	arctic_a0007_rms	9	1.502	1.562	[0.065063]	0	0	0	0
0	superlative	rms	A	arctic_a0007_rms	10	1.562	2.1919999	[0.065063, 0.039554, 0.922251, 0.066357, 0.2843]	1	1	1	2
2	degree	rms	A	arctic_a0007_rms	11	2.1919999	2.7620001	[0.18731, 0.766092]	1	1	0	2
0	.	rms	A	arctic_a0007_rms	12	2.7620001	0.0		0	0	0	0
0	.	slt	A	arctic_a0007_slt	0	0.0	0.0		0	0	0	0
0	.	slt	A	arctic_a0007_slt	1	0.0	0.18075		0	0	0	0
0	And	slt	A	arctic_a0007_slt	2	0.18075	0.33074999	[0.144737]	0	0	0	0
0	you	slt	A	arctic_a0007_slt	3	0.33074999	0.43700001	[0.146014]	0	0	0	0
2	always	slt	A	arctic_a0007_slt	4	0.43700001	0.82450002	[1.199172, 0.3186]	1	0	1	1
0	want	slt	A	arctic_a0007_slt	5	0.82450002	1.0495	[0.384406]	1	0	0	0
0	to	slt	A	arctic_a0007_slt	6	1.0495	1.11825	[0.095745]	0	0	0	0
0	see	slt	A	arctic_a0007_slt	7	1.11825	1.35575	[0.095745, 0.403482]	1	0	1	2
0	it	slt	A	arctic_a0007_slt	8	1.35575	1.45575	[0.131803]	0	0	0	0
0	in	slt	A	arctic_a0007_slt	9	1.45575	1.54325	[0.090788]	0	0	0	0
0	the	slt	A	arctic_a0007_slt	10	1.54325	1.612	[0.083981]	0	0	0	0
1	superlative	slt	A	arctic_a0007_slt	11	1.612	2.33075	[0.083981, 0.030066, 0.279069, 0.081697, 0.133873]	1	1	0	2
1	degree	slt	A	arctic_a0007_slt	12	2.33075	2.862	[0.118651, 0.532201]	1	1	0	2
0	.	slt	A	arctic_a0007_slt	13	2.862	0.0		0	0	0	0
0	.	rms	A	arctic_a0008_rms	0	0.0	0.071999997		0	0	0	0
2	Gad	rms	A	arctic_a0008_rms	1	0.071999997	0.49200001	[0.912126]	1	2	1	2
0	your	rms	A	arctic_a0008_rms	2	0.49200001	0.69199997	[0.015819]	0	0	0	0
0	letter	rms	A	arctic_a0008_rms	3	0.69199997	0.89200002	[0.022136, 0.104669]	1	1	0	1
0	came	rms	A	arctic_a0008_rms	4	0.89200002	1.222	[0.116332]	0	0	0	0
2	just	rms	A	arctic_a0008_rms	5	1.222	1.5420001	[0.16767]	1	0	1	2
0	in	rms	A	arctic_a0008_rms	6	1.5420001	1.652	[0.043378]	0	0	0	0
2	time	rms	A	arctic_a0008_rms	7	1.652	2.1619999	[0.183997]	1	1	1	1
0	.	rms	A	arctic_a0008_rms	8	2.1619999	0.0		0	0	0	0
0	.	slt	A	arctic_a0008_slt	0	0.0	0.18700001		0	0	0	0
2	Gad	slt	A	arctic_a0008_slt	1	0.18700001	0.53074998	[0.978508]	1	1	1	1
0	your	slt	A	arctic_a0008_slt	2	0.53074998	0.67449999	[0.01393]	0	0	0	0
0	letter	slt	A	arctic_a0008_slt	3	0.67449999	0.94950002	[0.128009, 0.064942]	1	0	1	2
0	came	slt	A	arctic_a0008_slt	4	0.94950002	1.23075	[0.099012]	1	0	0	0
0	just	slt	A	arctic_a0008_slt	5	1.23075	1.5057499	[0.064412]	0	0	0	1
0	in	slt	A	arctic_a0008_slt	6	1.5057499	1.637	[0.038052]	0	0	0	0
2	time	slt	A	arctic_a0008_slt	7	1.637	2.062	[0.406198]	1	0	2	1
0	.	slt	A	arctic_a0008_slt	8	2.062	0.0		0	0	0	0
0	.	rms	A	arctic_a0009_rms	0	0.0	0.052000001		0	0	0	0
0	He	rms	A	arctic_a0009_rms	1	0.052000001	0.20200001	[0.239737]	0	0	0	0
0	turned	rms	A	arctic_a0009_rms	2	0.20200001	0.46200001	[0.652021]	1	0	0	1
2	sharply	rms	A	arctic_a0009_rms	3	0.46200001	1.1720001	[0.122222]	0	2	2	2
0	and	rms	A	arctic_a0009_rms	4	1.1720001	1.352	[0.057012]	0	0	0	0
0	faced	rms	A	arctic_a0009_rms	5	1.352	1.642	[0.90269]	1	1	0	0
1	Gregson	rms	A	arctic_a0009_rms	6	1.642	2.072	[0.109319, 0.374748, 0.025827]	1	2	1	2
0	across	rms	A	arctic_a0009_rms	7	2.072	2.4319999	[0.025827, 0.70881]	1	0	0	0
0	the	rms	A	arctic_a0009_rms	8	2.4319999	2.5020001	[0.075879]	0	0	0	0
0	table	rms	A	arctic_a0009_rms	9	2.5020001	2.9119999	[0.075879, 0.693182, 0.014025]	1	0	0	2
0	.	rms	A	arctic_a0009_rms	10	2.9119999	0.0		0	0	0	0
0	.	slt	A	arctic_a0009_slt	0	0.0	0.13699999		0	0	0	0
0	He	slt	A	arctic_a0009_slt	1	0.13699999	0.27450001	[0.433069]	0	0	0	0
0	turned	slt	A	arctic_a0009_slt	2	0.27450001	0.58700001	[0.900744]	1	1	0	0
2	sharply	slt	A	arctic_a0009_slt	3	0.58700001	1.14325	[0.496897, 0.894615]	1	1	2	2
0	and	slt	A	arctic_a0009_slt	4	1.14325	1.2995	[0.161548]	0	0	0	0
0	faced	slt	A	arctic_a0009_slt	5	1.2995	1.58075	[0.927273]	1	1	0	0
1	Gregson	slt	A	arctic_a0009_slt	6	1.58075	2.0057499	[1.137193, 0.182848]	1	0	1	2
0	across	slt	A	arctic_a0009_slt	7	2.0057499	2.3682499	[0.230197, 0.591339]	1	0	0	0
0	the	slt	A	arctic_a0009_slt	8	2.3682499	2.487	[0.102149]	0	0	0	0
1	table	slt	A	arctic_a0009_slt	9	2.487	2.8870001	[0.559859, 0.083237]	1	0	1	2
0	.	slt	A	arctic_a0009_slt	10	2.8870001	0.0		0	0	0	0
0	.	rms	A	arctic_a0010_rms	0	0.0	0.102		0	0	0	0
0	I'm	rms	A	arctic_a0010_rms	1	0.102	0.27200001	[0.428058]	1	0	0	0
2	playing	rms	A	arctic_a0010_rms	2	0.27200001	0.69199997	[0.673986, 0.067039]	1	2	1	2
0	a	rms	A	arctic_a0010_rms	3	0.69199997	0.73199999	[0.238354]	1	0	0	0
0	single	rms	A	arctic_a0010_rms	4	0.73199999	1.092	[0.119876, 0.061314]	0	0	0	0
2	hand	rms	A	arctic_a0010_rms	5	1.092	1.442	[0.957914]	1	0	1	2
0	in	rms	A	arctic_a0010_rms	6	1.442	1.512	[0.03548]	0	0	0	0
0	what	rms	A	arctic_a0010_rms	7	1.512	1.682	[0.200215]	1	1	0	0
0	looks	rms	A	arctic_a0010_rms	8	1.682	1.902	[0.079397]	0	1	1	1
0	like	rms	A	arctic_a0010_rms	9	1.902	2.1919999	[0.66308]	1	1	1	0
0	a	rms	A	arctic_a0010_rms	10	2.1919999	2.2219999	[0.044943]	0	0	0	0
1	losing	rms	A	arctic_a0010_rms	11	2.2219999	2.612	[0.044943, 0.221658, 0.093428]	1	0	0	2
2	game	rms	A	arctic_a0010_rms	12	2.612	3.082	[0.915214]	1	0	1	2
0	.	rms	A	arctic_a0010_rms	13	3.082	0.0		0	0	0	0
0	.	slt	A	arctic_a0010_slt	0	0.0	0.19325		0	0	0	0
0	I'm	slt	A	arctic_a0010_slt	1	0.19325	0.29949999	[0.196107]	0	0	0	0
0	playing	slt	A	arctic_a0010_slt	2	0.29949999	0.5995	[0.562672, 0.153589, 0.112535]	1	1	1	0
0	a	slt	A	arctic_a0010_slt	3	0.5995	0.62449998	[0.112535]	0	0	0	0
0	single	slt	A	arctic_a0010_slt	4	0.62449998	0.96824998	[0.112535, 0.265101, 0.52808]	0	1	1	1
2	hand	slt	A	arctic_a0010_slt	5	0.96824998	1.29325	[0.9]	1	0	1	2
0	in	slt	A	arctic_a0010_slt	6	1.29325	1.39325	[0.171238]	0	0	0	0
0	what	slt	A	arctic_a0010_slt	7	1.39325	1.54325	[0.201612]	1	0	0	0
0	looks	slt	A	arctic_a0010_slt	8	1.54325	1.8182499	[0.07437]	0	1	1	1
0	like	slt	A	arctic_a0010_slt	9	1.8182499	2.0120001	[0.417736, 0.05324]	1	0	0	0
0	a	slt	A	arctic_a0010_slt	10	2.0120001	2.03075	[0.05324]	0	0	0	0
2	losing	slt	A	arctic_a0010_slt	11	2.03075	2.4495001	[0.05324, 0.427008, 0.199628]	1	0	1	1
1	game	slt	A	arctic_a0010_slt	12	2.4495001	2.7932501	[0.687865]	1	0	1	2
0	.	slt	A	arctic_a0010_slt	13	2.7932501	0.0		0	0	0	0
0	.	rms	A	arctic_a0011_rms	0	0.0	0.102		0	0	0	0
0	If	rms	A	arctic_a0011_rms	1	0.102	0.292	[0.167653]	0	0	0	0
0	I	rms	A	arctic_a0011_rms	2	0.292	0.45199999	[1.17]	1	0	0	0
0	ever	rms	A	arctic_a0011_rms	3	0.45199999	0.68199998	[0.55966]	0	0	1	1
0	needed	rms	A	arctic_a0011_rms	4	0.68199998	0.98199999	[0.969205, 0.328459]	1	2	1	0
0	a	rms	A	arctic_a0011_rms	5	0.98199999	1.012	[0.308307]	0	0	0	0
2	fighter	rms	A	arctic_a0011_rms	6	1.012	1.4220001	[1.029112, 0.460379]	1	0	1	2
0	in	rms	A	arctic_a0011_rms	7	1.4220001	1.552	[0.105148]	0	0	0	0
0	my	rms	A	arctic_a0011_rms	8	1.552	1.712	[0.643523]	1	0	0	0
0	life	rms	A	arctic_a0011_rms	9	1.712	2.092	[0.631545]	1	1	1	2
0	I	rms	A	arctic_a0011_rms	10	2.092	2.1819999	[0.394757]	0	0	0	0
0	need	rms	A	arctic_a0011_rms	11	2.1819999	2.4119999	[0.232544]	0	1	0	1
0	one	rms	A	arctic_a0011_rms	12	2.4119999	2.592	[0.173855]	0	0	0	1
1	now	rms	A	arctic_a0011_rms	13	2.592	3.0320001	[1.155974]	1	0	2	2
0	.	rms	A	arctic_a0011_rms	14	3.0320001	0.0		0	0	0	0
0	.	slt	A	arctic_a0011_slt	0	0.0	0.080750003		0	0	0	0
0	If	slt	A	arctic_a0011_slt	1	0.080750003	0.21825001	[0.246887]	0	0	0	0
0	I	slt	A	arctic_a0011_slt	2	0.21825001	0.3495	[0.741195]	1	0	0	0
0	ever	slt	A	arctic_a0011_slt	3	0.3495	0.56199998	[0.917545, 0.227081]	1	0	1	0
0	needed	slt	A	arctic_a0011_slt	4	0.56199998	0.89950001	[0.411171, 0.145166]	1	0	0	0
0	a	slt	A	arctic_a0011_slt	5	0.89950001	0.94950002	[0.203105]	0	0	0	0
2	fighter	slt	A	arctic_a0011_slt	6	0.94950002	1.3807499	[0.9, 0.319419]	1	2	2	2
0	in	slt	A	arctic_a0011_slt	7	1.3807499	1.4744999	[0.052425]	0	0	0	0
0	my	slt	A	arctic_a0011_slt	8	1.4744999	1.61825	[0.265059]	0	0	0	0
0	life	slt	A	arctic_a0011_slt	9	1.61825	1.93075	[0.66448]	1	0	2	2
0	I	slt	A	arctic_a0011_slt	10	1.93075	2.01825	[0.309746]	0	0	0	0
0	need	slt	A	arctic_a0011_slt	11	2.01825	2.237	[0.17762]	0	0	0	1
0	one	slt	A	arctic_a0011_slt	12	2.237	2.45575	[0.198435]	0	0	0	0
1	now	slt	A	arctic_a0011_slt	13	2.45575	2.83075	[0.848111]	1	1	1	2
0	.	slt	A	arctic_a0011_slt	14	2.83075	0.0		0	0	0	0
0	.	rms	A	arctic_a0012_rms	0	0.0	0.061999999		0	0	0	0
2	Gregson	rms	A	arctic_a0012_rms	1	0.061999999	0.53200001	[0.270036, 0.175731]	1	2	2	1
1	shoved	rms	A	arctic_a0012_rms	2	0.53200001	0.90200001	[0.561508]	0	0	1	0
0	back	rms	A	arctic_a0012_rms	3	0.90200001	1.232	[0.900518]	1	0	0	2
0	his	rms	A	arctic_a0012_rms	4	1.232	1.432	[0.234368]	0	0	0	0
2	chair	rms	A	arctic_a0012_rms	5	1.432	1.852	[0.213664]	1	0	1	2
0	and	rms	A	arctic_a0012_rms	6	1.852	1.942	[0.164935]	0	0	0	0
1	rose	rms	A	arctic_a0012_rms	7	1.942	2.2620001	[0.096696]	0	1	1	2
0	to	rms	A	arctic_a0012_rms	8	2.2620001	2.372	[0.061417]	0	0	0	0
0	his	rms	A	arctic_a0012_rms	9	2.372	2.572	[0.061417, 0.199745]	1	0	0	0
2	feet	rms	A	arctic_a0012_rms	10	2.572	2.9419999	[0.282197]	1	0	1	2
0	.	rms	A	arctic_a0012_rms	11	2.9419999	0.0		0	0	0	0
0	.	slt	A	arctic_a0012_slt	0	0.0	0.1745		0	0	0	0
1	Gregson	slt	A	arctic_a0012_slt	1	0.1745	0.63700002	[0.43218, 0.565284]	0	0	1	1
0	shoved	slt	A	arctic_a0012_slt	2	0.63700002	0.9745	[0.794881]	1	1	1	1
0	back	slt	A	arctic_a0012_slt	3	0.9745	1.23075	[0.904501]	1	0	1	0
0	his	slt	A	arctic_a0012_slt	4	1.23075	1.33075	[0.052847]	0	0	0	0
2	chair	slt	A	arctic_a0012_slt	5	1.33075	1.71825	[0.458568, 0.090086]	1	0	1	2
0	and	slt	A	arctic_a0012_slt	6	1.71825	1.83075	[0.090086]	0	1	0	0
1	rose	slt	A	arctic_a0012_slt	7	1.83075	2.0682499	[0.484662]	1	2	0	1
0	to	slt	A	arctic_a0012_slt	8	2.0682499	2.237	[0.195383]	0	0	0	0
0	his	slt	A	arctic_a0012_slt	9	2.237	2.3994999	[0.052081]	0	0	0	0
2	feet	slt	A	arctic_a0012_slt	10	2.3994999	2.6807499	[0.61676]	1	0	0	2
0	.	slt	A	arctic_a0012_slt	11	2.6807499	0.0		0	0	0	0
0	.	rms	A	arctic_a0013_rms	0	0.0	0.052000001		0	0	0	0
0	He	rms	A	arctic_a0013_rms	1	0.052000001	0.20200001	[0.364551]	0	0	0	1
0	was	rms	A	arctic_a0013_rms	2	0.20200001	0.37200001	[0.34966]	0	0	0	0
0	a	rms	A	arctic_a0013_rms	3	0.37200001	0.43200001	[0.476135]	0	0	0	0
