onset	offset	word	file	interval_no	tag1	tagger
0.015	0.74000001	Theseus	amidsummernightsdream_02_3	1	[0.9, 0.530438, 0.090149]	1
0.74000001	0	0	amidsummernightsdream_02_3	2		0
0	0	0	amidsummernightsdream_02_3	3		0
0	1.3200001	0	amidsummernightsdream_02_3	4		0
1.3200001	1.5650001	Duke	amidsummernightsdream_02_3	5	[0.28630700000000003]	1
1.5650001	1.66	of	amidsummernightsdream_02_3	6	[0.13098800000000002]	0
1.66	2.2249999	Athens	amidsummernightsdream_02_3	7	[0.975281, 0.084643]	1
2.2249999	0	0	amidsummernightsdream_02_3	8		0
0	2.4949999	0	amidsummernightsdream_02_3	9		0
2.4949999	2.9549999	engaged	amidsummernightsdream_02_3	10	[0.55203, 0.54192]	1
2.9549999	3.04	to	amidsummernightsdream_02_3	11	[0.210933]	0
3.04	3.665	Hippolyta	amidsummernightsdream_02_3	12	[0.136658, 0.705056, 0.028995, 0.07361799999999999]	1
3.665	0	0	amidsummernightsdream_02_3	13		0
0	0.015	0	amidsummernightsdream_02_31	0		0
0.015	0.56999999	Snout	amidsummernightsdream_02_31	1	[1.131318]	1
0.56999999	0	0	amidsummernightsdream_02_31	2		0
0	0	0	amidsummernightsdream_02_31	3		0
0	0.99000001	0	amidsummernightsdream_02_31	4		0
0.99000001	1.04	who	amidsummernightsdream_02_31	5	[0.046211]	0
1.04	1.405	plays	amidsummernightsdream_02_31	6	[0.693422, 0.050848]	1
1.405	1.4299999	a	amidsummernightsdream_02_31	7	[0.050848]	0
1.4299999	1.825	wall	amidsummernightsdream_02_31	8	[0.050848, 0.096536]	1
1.825	0	0	amidsummernightsdream_02_31	9		0
0	0.02	0	amidsummernightsdream_02_33	0		0
0.02	0.64499998	Starveling	amidsummernightsdream_02_33	1	[0.9, 0.147643]	1
0.64499998	0	0	amidsummernightsdream_02_33	2		0
0	0	0	amidsummernightsdream_02_33	3		0
0	1.12	0	amidsummernightsdream_02_33	4		0
1.12	1.205	who	amidsummernightsdream_02_33	5	[0.6824979999999999]	1
1.205	1.62	plays	amidsummernightsdream_02_33	6	[0.439199]	0
1.62	1.71	the	amidsummernightsdream_02_33	7	[0.16253099999999998]	0
1.71	2.085	Moon	amidsummernightsdream_02_33	8	[0.16253099999999998, 0.15471500000000002]	0
2.085	0	0	amidsummernightsdream_02_33	9		0
0	0.055	0	amidsummernightsdream_02_5	0		0
0.055	0.68000001	Hippolyta	amidsummernightsdream_02_5	1	[1.106683, 0.502791, 0.195214, 0.317923]	1
0.68000001	0	0	amidsummernightsdream_02_5	2		0
0	1.025	0	amidsummernightsdream_02_5	3		0
1.025	1.46	Queen	amidsummernightsdream_02_5	4	[1.024233]	1
1.46	1.5700001	of	amidsummernightsdream_02_5	5	[0.298122]	0
1.5700001	1.6950001	the	amidsummernightsdream_02_5	6	[1.206556]	1
1.6950001	2.3699999	Amazons	amidsummernightsdream_02_5	7	[0.9, 0.141978]	1
2.3699999	0	0	amidsummernightsdream_02_5	8		0
0	0.015	0	amidsummernightsdream_02_7	0		0
0.015	0.625	Egeus	amidsummernightsdream_02_7	1	[0.925816, 0.07094]	1
0.625	0	0	amidsummernightsdream_02_7	2		0
0	0	0	amidsummernightsdream_02_7	3		0
0	1.175	0	amidsummernightsdream_02_7	4		0
1.175	1.5549999	father	amidsummernightsdream_02_7	5	[0.8702690000000001, 0.314286]	1
1.5549999	1.66	of	amidsummernightsdream_02_7	6	[0.117927]	0
1.66	2.1700001	Hermia	amidsummernightsdream_02_7	7	[1.286403, 0.26005500000000004, 0.140234]	1
2.1700001	0	0	amidsummernightsdream_02_7	8		0
0	2.4549999	0	amidsummernightsdream_02_7	9		0
2.4549999	2.7249999	wants	amidsummernightsdream_02_7	10	[0.296397]	1
2.7249999	2.8499999	her	amidsummernightsdream_02_7	11	[0.337799]	1
2.8499999	2.99	to	amidsummernightsdream_02_7	12	[0.07197200000000001]	0
2.99	3.2750001	marry	amidsummernightsdream_02_7	13	[0.685674, 0.170808]	1
3.2750001	4.0749998	Demetrius	amidsummernightsdream_02_7	14	[0.043692, 0.906345, 0.119151, 0.115216]	1
4.0749998	0	0	amidsummernightsdream_02_7	15		0
0	0.059999999	0	amidsummernightsdream_02_9	0		0
0.059999999	0.58499998	Hermia	amidsummernightsdream_02_9	1	[1.3, 0.190375, 0.101275]	1
0.58499998	0	0	amidsummernightsdream_02_9	2		0
0	0	0	amidsummernightsdream_02_9	3		0
0	0.98000002	0	amidsummernightsdream_02_9	4		0
0.98000002	1.105	in	amidsummernightsdream_02_9	5	[0.033362]	0
1.105	1.375	love	amidsummernightsdream_02_9	6	[0.775165]	1
1.375	1.505	with	amidsummernightsdream_02_9	7	[0.047848]	0
1.505	2.2249999	Lysander	amidsummernightsdream_02_9	8	[0.59175, 0.17928, 0.095109]	1
2.2249999	0	0	amidsummernightsdream_02_9	9		0
0	0	0	amidsummernightsdream_03_1	0		0
0	0.075000003	0	amidsummernightsdream_03_1	1		0
0.075000003	0.28999999	This	amidsummernightsdream_03_1	2	[0.8645299999999999]	1
0.28999999	0.62	book	amidsummernightsdream_03_1	3	[0.277457]	0
0.62	0.64999998	0	amidsummernightsdream_03_1	4		0
0.64999998	0.77499998	is	amidsummernightsdream_03_1	5	[0.337018]	1
0.77499998	1.155	based	amidsummernightsdream_03_1	6	[0.358802]	1
1.155	1.24	on	amidsummernightsdream_03_1	7	[0.083987]	0
1.24	1.3	a	amidsummernightsdream_03_1	8	[0.115009]	0
1.3	1.8	famous	amidsummernightsdream_03_1	9	[1.236059, 0.190818]	1
1.8	2.1199999	play	amidsummernightsdream_03_1	10	[0.506679]	1
2.1199999	2.135	0	amidsummernightsdream_03_1	11		0
2.135	2.2850001	by	amidsummernightsdream_03_1	12	[0.31713800000000003]	0
2.2850001	2.655	William	amidsummernightsdream_03_1	13	[0.276475, 0.053811000000000005]	1
2.655	3.325	Shakespeare	amidsummernightsdream_03_1	14	[0.25942800000000005, 0.2304]	1
3.325	0	0	amidsummernightsdream_03_1	15		0
0	0.02	0	amidsummernightsdream_03_11	0		0
0.02	0.63499999	Theseus	amidsummernightsdream_03_11	1	[0.9, 0.543683, 0.06651900000000001]	1
0.63499999	0.64999998	0	amidsummernightsdream_03_11	2		0
0.64999998	0.75999999	the	amidsummernightsdream_03_11	3	[0.38435]	1
0.75999999	1.0650001	Duke	amidsummernightsdream_03_11	4	[0.294628, 0.040998]	0
1.0650001	1.14	of	amidsummernightsdream_03_11	5	[0.040998]	0
1.14	1.615	Athens	amidsummernightsdream_03_11	6	[0.819468, 0.084452]	1
1.615	0	0	amidsummernightsdream_03_11	7		0
0	1.725	0	amidsummernightsdream_03_11	8		0
1.725	1.895	was	amidsummernightsdream_03_11	9	[0.055117]	0
1.895	2.0050001	0	amidsummernightsdream_03_11	10		0
2.0050001	2.26	very	amidsummernightsdream_03_11	11	[0.896841, 0.12776400000000002, 0.028355]	1
2.26	2.875	excited	amidsummernightsdream_03_11	12	[0.028355, 0.366727, 0.103981]	1
2.875	0	0	amidsummernightsdream_03_11	13		0
0	0	0	amidsummernightsdream_03_13	0		0
0	0.090000004	0	amidsummernightsdream_03_13	1		0
0.090000004	0.15000001	The	amidsummernightsdream_03_13	2	[0.033184]	0
0.15000001	0.44	Queen	amidsummernightsdream_03_13	3	[0.033184, 1.236684]	1
0.44	0.54500002	of	amidsummernightsdream_03_13	4	[0.243018]	0
0.54500002	0.55500001	0	amidsummernightsdream_03_13	5		0
0.55500001	0.66000003	the	amidsummernightsdream_03_13	6	[0.668118]	1
0.66000003	1.255	Amazons	amidsummernightsdream_03_13	7	[0.463715, 0.167893]	0
1.255	0	0	amidsummernightsdream_03_13	8		0
0	1.415	0	amidsummernightsdream_03_13	9		0
1.415	1.995	Hippolyta	amidsummernightsdream_03_13	10	[0.23064, 0.512296, 0.280448, 0.237743]	1
1.995	0	0	amidsummernightsdream_03_13	11		0
0	0	0	amidsummernightsdream_03_13	12		0
0	2.28	0	amidsummernightsdream_03_13	13		0
2.28	2.3900001	had	amidsummernightsdream_03_13	14	[0.086215]	0
2.3900001	2.7750001	agreed	amidsummernightsdream_03_13	15	[0.202944, 0.953691]	1
2.7750001	2.905	to	amidsummernightsdream_03_13	16	[0.306144]	0
2.905	3.2	marry	amidsummernightsdream_03_13	17	[0.8221149999999999, 0.338977]	1
3.2	3.4549999	him	amidsummernightsdream_03_13	18	[0.121928]	0
3.4549999	0	0	amidsummernightsdream_03_13	19		0
0	0.015	0	amidsummernightsdream_03_15	0		0
0.015	0.495	Squeezing	amidsummernightsdream_03_15	1	[0.304054, 0.053942]	1
0.495	0.53500003	her	amidsummernightsdream_03_15	2	[0.041505]	0
0.53500003	1.045	hand	amidsummernightsdream_03_15	3	[0.041505, 1.121928]	1
1.045	0	0	amidsummernightsdream_03_15	4		0
0	0	0	amidsummernightsdream_03_15	5		0
0	1.3200001	0	amidsummernightsdream_03_15	6		0
1.3200001	1.42	he	amidsummernightsdream_03_15	7	[0.32421500000000003]	1
1.42	1.86	grinned	amidsummernightsdream_03_15	8	[0.130902]	0
1.86	0	0	amidsummernightsdream_03_15	9		0
0	2.1600001	0	amidsummernightsdream_03_15	10		0
2.1600001	2.29	and	amidsummernightsdream_03_15	11	[0.11652]	0
2.29	2.605	ordered	amidsummernightsdream_03_15	12	[0.507182, 0.134917]	1
2.605	2.7249999	his	amidsummernightsdream_03_15	13	[0.102652]	0
2.7249999	3.27	servants	amidsummernightsdream_03_15	14	[0.214771]	1
3.27	3.2850001	0	amidsummernightsdream_03_15	15		0
3.2850001	3.3499999	to	amidsummernightsdream_03_15	16	[0.098028]	1
3.3499999	3.8299999	prepare	amidsummernightsdream_03_15	17	[0.098028, 0.00495, 0.575047]	1
3.8299999	3.9549999	for	amidsummernightsdream_03_15	18	[0.011755]	0
3.9549999	4.0349998	the	amidsummernightsdream_03_15	19	[0.011755, 0.107983]	1
4.0349998	4.3899999	wedding	amidsummernightsdream_03_15	20	[0.107983, 0.119032, 0.041605]	1
4.3899999	0	0	amidsummernightsdream_03_15	21		0
0	0	0	amidsummernightsdream_03_3	0		0
0	0.125	0	amidsummernightsdream_03_3	1		0
0.125	0.27500001	He	amidsummernightsdream_03_3	2	[0.522493]	0
0.27500001	0.55500001	wrote	amidsummernightsdream_03_3	3	[1.142177]	1
0.55500001	0.59500003	a	amidsummernightsdream_03_3	4	[0.084484]	0
0.59500003	0.995	Midsummer	amidsummernightsdream_03_3	5	[0.228872, 0.243605, 0.092637]	1
0.995	1.355	Night's	amidsummernightsdream_03_3	6	[0.092637, 0.8386469999999999]	1
1.355	1.73	Dream	amidsummernightsdream_03_3	7	[0.35130300000000003]	1
1.73	1.79	0	amidsummernightsdream_03_3	8		0
1.79	2.02	over	amidsummernightsdream_03_3	9	[0.263204, 0.208334]	0
2.02	2.3900001	four	amidsummernightsdream_03_3	10	[0.697283]	1
2.3900001	2.6949999	hundred	amidsummernightsdream_03_3	11	[0.099801, 0.107316]	0
2.6949999	2.97	years	amidsummernightsdream_03_3	12	[0.402466, 0.045339]	1
2.97	3.2850001	ago	amidsummernightsdream_03_3	13	[0.045339, 0.356926]	1
3.2850001	3.5599999	0	amidsummernightsdream_03_3	14		0
3.5599999	3.7	to	amidsummernightsdream_03_3	15	[0.01923]	0
3.7	4.2199998	amuse	amidsummernightsdream_03_3	16	[0.01923, 0.383318, 0.24061]	1
4.2199998	4.2350001	0	amidsummernightsdream_03_3	17		0
4.2350001	4.6700001	noisy	amidsummernightsdream_03_3	18	[1.174262, 0.343871]	1
4.6700001	5.4450002	audiences	amidsummernightsdream_03_3	19	[0.308241, 0.373557, 0.026985, 0.220261]	1
5.4450002	0	0	amidsummernightsdream_03_3	20		0
0	0.094999999	0	amidsummernightsdream_03_5	0		0
0.094999999	0.23	They	amidsummernightsdream_03_5	1	[0.466367]	0
0.23	0.62	loved	amidsummernightsdream_03_5	2	[1.299998]	1
0.62	1.23	mix-ups	amidsummernightsdream_03_5	3	[0.551107, 0.36481]	0
1.23	1.25	0	amidsummernightsdream_03_5	4		0
1.25	1.39	and	amidsummernightsdream_03_5	5	[0.188673]	0
1.39	1.91	magic	amidsummernightsdream_03_5	6	[0.490007, 0.14332899999999998]	1
1.91	0	0	amidsummernightsdream_03_5	7		0
0	0	0	amidsummernightsdream_03_5	8		0
0	2.2550001	0	amidsummernightsdream_03_5	9		0
2.2550001	2.4100001	and	amidsummernightsdream_03_5	10	[0.041919]	0
2.4100001	2.6099999	this	amidsummernightsdream_03_5	11	[0.589302]	1
2.6099999	3.155	story	amidsummernightsdream_03_5	12	[0.245324, 0.244695]	1
3.155	3.3	is	amidsummernightsdream_03_5	13	[0.05258]	0
3.3	3.52	full	amidsummernightsdream_03_5	14	[0.023013]	0
3.52	3.7049999	of	amidsummernightsdream_03_5	15	[0.324761]	1
3.7049999	3.72	0	amidsummernightsdream_03_5	16		0
3.72	3.9749999	both	amidsummernightsdream_03_5	17	[0.25337600000000005]	1
3.9749999	0	0	amidsummernightsdream_03_5	18		0
0	0.050000001	0	amidsummernightsdream_03_7	0		0
0.050000001	0.36500001	Chapter	amidsummernightsdream_03_7	1	[0.999778, 0.046525]	1
0.36500001	0.72000003	One	amidsummernightsdream_03_7	2	[0.320558]	1
0.72000003	0	0	amidsummernightsdream_03_7	3		0
0	0.035	0	amidsummernightsdream_03_9	0		0
0.035	0.40000001	Wedding	amidsummernightsdream_03_9	1	[0.503857, 0.318934]	1
0.40000001	0.93000001	Belles	amidsummernightsdream_03_9	2	[0.949005]	1
0.93000001	0	0	amidsummernightsdream_03_9	3		0
0	0.015	0	amidsummernightsdream_04_1	0		0
0.015	0.41499999	Soon	amidsummernightsdream_04_1	1	[0.639496]	1
0.41499999	0.70499998	0	amidsummernightsdream_04_1	2		0
0.70499998	0.77999997	they	amidsummernightsdream_04_1	3	[0.250779]	1
0.77999997	1.035	were	amidsummernightsdream_04_1	4	[0.142034]	0
1.035	1.365	racing	amidsummernightsdream_04_1	5	[0.142034, 0.551235, 0.169454]	1
1.365	1.72	around	amidsummernightsdream_04_1	6	[0.17763900000000002, 0.881576]	1
1.72	1.77	the	amidsummernightsdream_04_1	7	[0.034929]	0
1.77	2.26	palace	amidsummernightsdream_04_1	8	[0.034929, 0.32299, 0.197827]	1
2.26	0	0	amidsummernightsdream_04_1	9		0
0	0	0	amidsummernightsdream_04_1	10		0
0	2.5550001	0	amidsummernightsdream_04_1	11		0
2.5550001	3.1500001	polishing	amidsummernightsdream_04_1	12	[0.416961, 0.038655, 0.190683]	1
3.1500001	3.6900001	furniture	amidsummernightsdream_04_1	13	[0.9, 0.291781, 0.330385, 0.025071]	1
3.6900001	3.78	and	amidsummernightsdream_04_1	14	[0.025071]	0
3.78	4.2049999	floors	amidsummernightsdream_04_1	15	[0.855923, 0.017138]	1
4.2049999	4.46	until	amidsummernightsdream_04_1	16	[0.017138, 0.021265]	0
4.46	4.5999999	they	amidsummernightsdream_04_1	17	[0.255986]	1
4.5999999	4.9650002	shone	amidsummernightsdream_04_1	18	[0.148055]	0
4.9650002	0	0	amidsummernightsdream_04_1	19		0
0	0.015	0	amidsummernightsdream_04_3	0		0
0.015	0.13	In	amidsummernightsdream_04_3	1	[0.380534]	1
0.13	0.175	the	amidsummernightsdream_04_3	2	[0.089852]	0
0.175	0.69999999	kitchen	amidsummernightsdream_04_3	3	[0.089852, 0.385196, 0.220714]	1
0.69999999	0	0	amidsummernightsdream_04_3	4		0
0	0	0	amidsummernightsdream_04_3	5		0
0	1.04	0	amidsummernightsdream_04_3	6		0
1.04	1.105	the	amidsummernightsdream_04_3	7	[0.023622]	0
1.105	1.405	cook	amidsummernightsdream_04_3	8	[0.023622, 0.248574]	0
1.405	1.415	0	amidsummernightsdream_04_3	9		0
1.415	1.795	began	amidsummernightsdream_04_3	10	[0.366127, 0.927241]	1
1.795	2.3499999	creating	amidsummernightsdream_04_3	11	[0.19615, 0.380252, 0.11339]	1
2.3499999	2.4300001	a	amidsummernightsdream_04_3	12	[0.186999]	0
